,문화시설개수,구
가락1동,1,송파구
가산동,2,금천구
가양1동,2,강서구
가양2동,1,강서구
가회동,7,종로구
강일동,1,강동구
개봉1동,2,구로구
개봉3동,1,구로구
개포2동,3,강남구
개포4동,1,강남구
거여1동,1,송파구
거여2동,1,송파구
고덕2동,2,강동구
고척2동,2,구로구
공릉1동,1,노원구
공릉2동,2,노원구
광장동,5,광진구
광희동,5,중구
교남동,1,종로구
구로2동,2,구로구
구로3동,1,구로구
구로4동,2,구로구
구로5동,6,구로구
구산동,2,은평구
구의2동,1,광진구
구의3동,2,광진구
군자동,3,광진구
금호1가동,2,성동구
길동,1,강동구
낙성대동,1,관악구
남가좌1동,1,서대문구
남영동,7,용산구
남현동,1,관악구
내곡동,3,서초구
노량진1동,1,동작구
노량진2동,2,동작구
녹번동,6,은평구
논현1동,2,강남구
논현2동,4,강남구
능동,6,광진구
다산동,1,중구
답십리2동,2,동대문구
당산1동,2,영등포구
당산2동,1,영등포구
대림1동,1,영등포구
대림3동,1,영등포구
대방동,2,동작구
대조동,2,은평구
대치1동,1,강남구
대치2동,10,강남구
대치4동,2,강남구
대학동,5,관악구
대흥동,6,마포구
도곡1동,1,강남구
도곡2동,2,강남구
도봉2동,3,도봉구
독산1동,3,금천구
독산3동,2,금천구
독산4동,2,금천구
돈암2동,2,성북구
동화동,1,중구
등촌2동,3,강서구
등촌3동,1,강서구
마장동,1,성동구
망우본동,1,중랑구
면목4동,2,중랑구
면목7동,1,중랑구
면목본동,1,중랑구
명동,21,중구
목1동,5,양천구
목5동,1,양천구
묵1동,2,중랑구
문래동,5,영등포구
미성동,2,관악구
반포1동,3,서초구
반포2동,3,서초구
반포4동,1,서초구
방이2동,1,송파구
방화3동,1,강서구
번2동,2,강북구
번3동,2,강북구
보광동,1,용산구
부암동,6,종로구
불광1동,2,은평구
빛가람동,1,나주시
사근동,1,성동구
사당5동,1,동작구
사직동,17,종로구
삼성1동,6,강남구
삼성2동,3,강남구
삼양동,1,강북구
삼청동,15,종로구
상계10동,1,노원구
상계2동,2,노원구
상계6.7동,4,노원구
상도2동,1,동작구
상봉1동,1,중랑구
상봉2동,1,중랑구
상암동,5,마포구
상일동,1,강동구
새롬동,1,
서강동,3,마포구
서교동,9,마포구
서빙고동,5,용산구
서초1동,1,서초구
서초2동,3,서초구
서초3동,9,서초구
서초4동,1,서초구
성내1동,2,강동구
성내3동,1,강동구
성북동,7,성북구
성산2동,2,마포구
성수1가1동,3,성동구
세곡동,3,강남구
소공동,18,중구
송중동,2,강북구
송천동,1,강북구
송파2동,1,송파구
수궁동,1,구로구
수색동,1,은평구
수서동,1,강남구
수유1동,1,강북구
수유3동,1,강북구
숭인1동,1,종로구
숭인2동,2,종로구
시흥1동,3,금천구
시흥3동,2,금천구
시흥4동,1,금천구
시흥5동,1,금천구
신길5동,1,영등포구
신내2동,1,중랑구
신당동,2,중구
신도림동,1,구로구
신림동,1,관악구
신사동,4,강남구
신월7동,1,양천구
신정3동,1,양천구
신정6동,4,양천구
신촌동,7,서대문구
쌍문1동,3,도봉구
아현동,1,마포구
안암동,1,성북구
암사1동,1,강동구
암사2동,3,강동구
압구정동,6,강남구
약수동,1,중구
양재1동,5,서초구
양재2동,1,서초구
여의동,5,영등포구
역삼1동,13,강남구
역삼2동,1,강남구
역촌동,2,은평구
연희동,3,서대문구
염창동,1,강서구
영등포본동,1,영등포구
오금동,1,송파구
오류1동,2,구로구
오류2동,1,구로구
오륜동,10,송파구
용답동,1,성동구
용문동,1,용산구
용산2가동,3,용산구
용신동,6,동대문구
우이동,1,강북구
우장산동,2,강서구
원효로1동,5,용산구
원효로2동,2,용산구
월계1동,1,노원구
월계2동,1,노원구
월곡1동,1,성북구
월곡2동,2,성북구
을지로동,2,중구
응암1동,1,은평구
응암3동,1,은평구
이문1동,2,동대문구
이문2동,1,동대문구
이촌1동,2,용산구
이촌2동,1,용산구
이태원1동,3,용산구
이태원2동,3,용산구
이화동,21,종로구
인수동,2,강북구
일원2동,2,강남구
일원본동,2,강남구
자양1동,1,광진구
자양3동,2,광진구
자양4동,3,광진구
잠실2동,2,송파구
잠실3동,8,송파구
잠실6동,2,송파구
잠실본동,1,송파구
잠원동,1,서초구
장안1동,2,동대문구
장충동,8,중구
전농1동,1,동대문구
전농2동,1,동대문구
정릉1동,1,성북구
정릉3동,1,성북구
제기동,2,동대문구
종로1.2.3.4가동,50,종로구
종로5.6가동,2,종로구
종암동,3,성북구
중계1동,1,노원구
중계2.3동,2,노원구
중계4동,1,노원구
중계본동,1,노원구
중곡3동,1,광진구
중림동,4,중구
증산동,1,은평구
진관동,6,은평구
창1동,2,도봉구
창4동,3,도봉구
창5동,2,도봉구
창신1동,1,종로구
창신2동,1,종로구
천연동,2,서대문구
천호1동,2,강동구
천호2동,2,강동구
천호3동,1,강동구
청구동,1,중구
청담동,5,강남구
청량리동,2,동대문구
청운효자동,9,종로구
청파동,13,용산구
충현동,1,서대문구
평창동,7,종로구
필동,11,중구
한강로동,10,용산구
한남동,27,용산구
합정동,2,마포구
행당1동,5,성동구
혜화동,13,종로구
홍은2동,2,서대문구
화곡6동,2,강서구
화곡본동,1,강서구
화양동,2,광진구
황학동,1,중구
회기동,1,동대문구
회현동,3,중구
효창동,6,용산구
후암동,5,용산구
흑석동,1,동작구
