,호텔개수,구
가락본동,2,송파구
가산동,1,금천구
개포4동,1,강남구
공항동,1,강서구
광장동,2,광진구
광희동,8,중구
구로3동,2,구로구
구의3동,1,광진구
군자동,1,광진구
길동,2,강동구
남영동,3,용산구
녹번동,1,은평구
논현1동,7,강남구
논현2동,2,강남구
당산2동,2,영등포구
대치2동,1,강남구
대치4동,2,강남구
도화동,1,마포구
독산1동,1,금천구
독산4동,1,금천구
동선동,2,성북구
등촌1동,1,강서구
등촌2동,1,강서구
등촌3동,1,강서구
명동,18,중구
반포4동,2,서초구
발산1동,4,강서구
방이2동,1,송파구
방화2동,1,강서구
번1동,1,강북구
보문동,1,성북구
불광1동,2,은평구
사당1동,1,동작구
삼성1동,3,강남구
삼성2동,4,강남구
상계6.7동,1,노원구
상봉2동,2,중랑구
상암동,1,마포구
서교동,7,마포구
서초1동,2,서초구
서초3동,3,서초구
석촌동,2,송파구
성내2동,1,강동구
성내3동,1,강동구
성산1동,1,마포구
성수2가3동,1,성동구
소공동,7,중구
송중동,1,강북구
수유2동,1,강북구
숭인2동,1,종로구
신도림동,1,구로구
신림동,2,관악구
신사동,2,강남구
신월5동,1,양천구
신촌동,1,서대문구
쌍문3동,1,도봉구
아현동,1,마포구
압구정동,2,강남구
양재2동,1,서초구
양평1동,4,영등포구
여의동,5,영등포구
역삼1동,12,강남구
역삼2동,1,강남구
염창동,3,강서구
영등포동,5,영등포구
오류1동,1,구로구
왕십리도선동,3,성동구
용답동,1,성동구
용신동,3,동대문구
을지로동,4,중구
응암1동,1,은평구
이태원1동,4,용산구
인수동,1,강북구
자양3동,1,광진구
잠실3동,1,송파구
잠실본동,2,송파구
잠원동,2,서초구
장안1동,3,동대문구
장안2동,2,동대문구
장충동,4,중구
전농1동,2,동대문구
종로1.2.3.4가동,22,종로구
종로5.6가동,2,종로구
종암동,1,성북구
창신1동,3,종로구
천호2동,1,강동구
청담동,5,강남구
청량리동,1,동대문구
충현동,1,서대문구
평창동,1,종로구
필동,6,중구
한남동,2,용산구
합정동,1,마포구
홍은2동,1,서대문구
화곡1동,7,강서구
화곡6동,4,강서구
회현동,5,중구
휘경1동,1,동대문구
