,지하철개수,구
가락1동,2,송파구
가락2동,2,송파구
가산동,2,금천구
가양1동,3,강서구
가정1동,1,서구
가좌3동,1,서구
가좌4동,1,서구
갈현1동,1,은평구
갈현2동,1,은평구
개봉1동,1,구로구
개포2동,3,강남구
거여1동,1,송파구
공덕동,1,마포구
공릉1동,2,노원구
공릉2동,1,노원구
공항동,2,강서구
광장동,1,광진구
광희동,1,중구
구로1동,1,구로구
구로3동,2,구로구
구로5동,1,구로구
구월2동,1,남동구
구의2동,1,광진구
구의3동,1,광진구
금호1가동,1,성동구
금호4가동,1,성동구
길동,1,강동구
길음1동,1,성북구
남가좌1동,1,서대문구
남영동,2,용산구
남현동,1,관악구
내곡동,1,서초구
노량진1동,2,동작구
녹번동,2,은평구
논현1동,2,강남구
논현2동,3,강남구
능동,2,광진구
당산1동,1,영등포구
당산2동,1,영등포구
대림3동,1,영등포구
대방동,2,동작구
대조동,1,은평구
대치2동,3,강남구
대흥동,3,마포구
도곡1동,1,강남구
도곡2동,1,강남구
도봉2동,2,도봉구
도화동,1,마포구
동화동,1,중구
등촌1동,1,강서구
등촌3동,1,강서구
마장동,1,성동구
마천1동,1,송파구
망우본동,2,중랑구
면목3.8동,1,중랑구
면목4동,1,중랑구
면목본동,1,중랑구
명동,2,중구
명일1동,1,강동구
명일2동,1,강동구
목1동,2,양천구
목2동,1,양천구
목3동,1,양천구
목5동,1,양천구
무악동,1,종로구
묵1동,1,중랑구
문래동,1,영등포구
문정2동,3,송파구
미아동,1,강북구
반포1동,2,서초구
반포2동,1,서초구
반포4동,1,서초구
반포본동,1,서초구
발산1동,2,강서구
방배1동,1,서초구
방배2동,1,서초구
방배3동,1,서초구
방이1동,1,송파구
방이2동,1,송파구
방학1동,1,도봉구
방화1동,1,강서구
방화2동,3,강서구
방화3동,1,강서구
번1동,1,강북구
보문동,1,성북구
부개2동,1,부평구
불광1동,1,은평구
사근동,2,성동구
사당2동,2,동작구
사당4동,1,동작구
사직동,2,종로구
삼선동,2,성북구
삼성1동,2,강남구
삼성2동,1,강남구
삼양동,2,강북구
상계1동,1,노원구
상계2동,1,노원구
상계3.4동,1,노원구
상계5동,1,노원구
상계9동,1,노원구
상도1동,2,동작구
상도2동,1,동작구
상봉1동,2,중랑구
상암동,1,마포구
상일동,1,강동구
서강동,2,마포구
서교동,2,마포구
서빙고동,1,용산구
서초1동,1,서초구
서초2동,1,서초구
서초3동,2,서초구
석관동,1,성북구
석촌동,1,송파구
성내1동,1,강동구
성내2동,2,강동구
성내3동,1,강동구
성산2동,2,마포구
성수1가1동,1,성동구
성수1가2동,1,성동구
성수2가3동,1,성동구
소공동,1,중구
송중동,1,강북구
송천동,1,강북구
수궁동,1,구로구
수색동,1,은평구
수서동,1,강남구
수유1동,1,강북구
수유2동,1,강북구
숭인2동,1,종로구
시흥1동,1,금천구
신길1동,1,영등포구
신길6동,1,영등포구
신길7동,1,영등포구
신내2동,1,중랑구
신당동,1,중구
신도림동,2,구로구
신림동,1,관악구
신사1동,1,은평구
신사2동,1,은평구
신사동,2,강남구
신정3동,1,양천구
신정4동,1,양천구
신정7동,1,양천구
신촌동,2,서대문구
신포동,1,중구
쌍문3동,1,도봉구
아현동,2,마포구
안암동,1,성북구
암사2동,1,강동구
압구정동,1,강남구
약수동,2,중구
양서면,1,양평군
양재1동,1,서초구
양재2동,1,서초구
양평1동,1,영등포구
양평2동,1,영등포구
양평읍,1,양평군
여의동,4,영등포구
역삼1동,3,강남구
역삼2동,2,강남구
연수2동,1,연수구
영등포동,1,영등포구
영등포본동,1,영등포구
영종동,1,중구
오금동,1,송파구
오류2동,2,구로구
오륜동,1,송파구
옥련2동,1,연수구
옥수동,1,성동구
왕십리2동,1,성동구
용답동,3,성동구
용산2가동,1,용산구
용신동,3,동대문구
용현2동,1,미추홀구
우이동,3,강북구
운서동,1,중구
월계1동,1,노원구
월계2동,1,노원구
월곡2동,2,성북구
은천동,1,관악구
을지로동,2,중구
응봉동,1,성동구
이문1동,1,동대문구
이문2동,1,동대문구
이태원1동,1,용산구
이화동,1,종로구
일원2동,1,강남구
일원본동,1,강남구
자양2동,1,광진구
자양3동,1,광진구
잠실2동,1,송파구
잠실4동,1,송파구
잠실6동,1,송파구
잠실7동,1,송파구
잠원동,1,서초구
장수서창동,1,남동구
장위2동,1,성북구
장충동,1,중구
전농1동,1,동대문구
정릉1동,1,성북구
정릉4동,1,성북구
제기동,1,동대문구
종로1.2.3.4가동,3,종로구
종로5.6가동,2,종로구
주안4동,1,미추홀구
중계2.3동,1,노원구
중곡3동,1,광진구
중림동,1,중구
중화1동,1,중랑구
중화2동,1,중랑구
증산동,1,은평구
진관동,1,은평구
창4동,2,도봉구
창신3동,1,종로구
천호1동,1,강동구
충현동,2,서대문구
필동,1,중구
하계1동,1,노원구
한강로동,4,용산구
한남동,2,용산구
합정동,1,마포구
행당1동,1,성동구
행당2동,1,성동구
행운동,2,관악구
홍제2동,1,서대문구
홍제3동,1,서대문구
화곡1동,2,강서구
화양동,1,광진구
회현동,3,중구
효창동,1,용산구
휘경1동,1,동대문구
흑석동,1,동작구
