,대학교개수,구
고척1동,1,구로구
공릉2동,2,노원구
광장동,1,광진구
군자동,1,광진구
남가좌2동,1,서대문구
논현2동,1,강남구
대학동,1,관악구
대흥동,1,마포구
면목3.8동,1,중랑구
미아동,2,강북구
반포4동,1,서초구
방배3동,1,서초구
부암동,1,종로구
사근동,2,성동구
사당3동,1,동작구
삼선동,1,성북구
상계6.7동,1,노원구
상도1동,1,동작구
서강동,1,마포구
서초1동,1,서초구
석관동,1,성북구
신사1동,1,은평구
신촌동,2,서대문구
쌍문1동,1,도봉구
안암동,1,성북구
오류2동,1,구로구
오륜동,1,송파구
월계1동,1,노원구
월계2동,1,노원구
월곡2동,1,성북구
이문1동,2,동대문구
이화동,1,종로구
장충동,1,중구
전농2동,1,동대문구
정릉3동,1,성북구
정릉4동,1,성북구
청운효자동,1,종로구
청파동,1,용산구
충현동,2,서대문구
필동,1,중구
하계1동,1,노원구
혜화동,2,종로구
홍은2동,1,서대문구
홍제1동,1,서대문구
화곡6동,2,강서구
화양동,1,광진구
회기동,1,동대문구
휘경2동,1,동대문구
흑석동,2,동작구
