행정동,구,공원개수,공원개수_w,문화시설개수,문화시설개수_w,한강공원개수,한강공원개수_w,체육시설개수,체육시설개수_w,보행자도로개수,보행자도로개수_w,초중고,초중고_w,관광명소개수,관광명소개수_w,지하철개수,지하철개수_w,호텔개수,호텔개수_w,대학교개수,대학교개수_w,총합,가중치총합,인구수비율,SCORE,랭크
여의동,영등포구,,0,5,0.000843061,4,0.066666667,1,0.001041667,,0,6,0.000046083,3,0.003488372,4,0.000542373,5,0.000193798,,0,24,0.072822021,0.008665548,0.126491578,1
당산2동,영등포구,,0,1,0.000168612,2,0.033333333,,0,,0,4,0.000030722,1,0.001162791,1,0.000135593,2,0.000077519,,0,21,0.03490857,0.003996687,0.060478753,2
암사2동,강동구,,0,3,0.000505837,2,0.033333333,1,0.001041667,,0,2,0.000015361,1,0.001162791,1,0.000135593,,0,,0,8,0.036194582,0.001549876,0.06011271,3
종로1.2.3.4가동,종로구,1,0.000422535,50,0.00843061,,0,,0,6,0.001917808,2,0.000015361,13,0.015116279,3,0.00040678,22,0.000852713,,0,97,0.027162086,0.007063466,0.051011721,4
잠실2동,송파구,,0,2,0.000337224,1,0.016666667,5,0.005208333,,0,6,0.000046083,1,0.001162791,1,0.000135593,,0,,0,19,0.023556691,0.003575375,0.041690101,5
잠실3동,송파구,,0,8,0.001348898,1,0.016666667,,0,,0,4,0.000030722,2,0.002325581,,0,1,0.00003876,,0,17,0.020410628,0.004564266,0.037588662,6
상암동,마포구,,0,5,0.000843061,1,0.016666667,1,0.001041667,,0,5,0.000038402,1,0.001162791,1,0.000135593,1,0.00003876,,0,14,0.019926941,0.004309922,0.036551713,7
잠실6동,송파구,1,0.000422535,2,0.000337224,1,0.016666667,,0,,0,2,0.000015361,2,0.002325581,1,0.000135593,,0,,0,14,0.019902961,0.004143047,0.036346038,8
반포2동,서초구,,0,3,0.000505837,1,0.016666667,2,0.002083333,,0,2,0.000015361,1,0.001162791,1,0.000135593,,0,,0,21,0.020569582,0.002180286,0.03546187,9
자양3동,광진구,,0,2,0.000337224,1,0.016666667,1,0.001041667,2,0.000639269,4,0.000030722,1,0.001162791,1,0.000135593,1,0.00003876,,0,21,0.020052693,0.002171585,0.034616842,10
신사동,강남구,,0,4,0.000674449,1,0.016666667,,0,,0,3,0.000023041,1,0.001162791,2,0.000271186,2,0.000077519,,0,16,0.018875653,0.002065982,0.032606789,11
망원1동,마포구,,0,,0,1,0.016666667,1,0.001041667,,0,,0,1,0.001162791,,0,,0,,0,4,0.018871125,0.001902129,0.032435609,12
서빙고동,용산구,,0,5,0.000843061,1,0.016666667,,0,,0,2,0.000015361,1,0.001162791,1,0.000135593,,0,,0,11,0.018823473,0.001692938,0.032149317,13
천호2동,강동구,,0,2,0.000337224,1,0.016666667,,0,,0,2,0.000015361,,0,,0,1,0.00003876,,0,6,0.017058012,0.004352511,0.031952374,14
이촌1동,용산구,,0,2,0.000337224,1,0.016666667,1,0.001041667,,0,2,0.000015361,,0,,0,,0,,0,7,0.018060919,0.002592713,0.03181528,15
합정동,마포구,,0,2,0.000337224,1,0.016666667,,0,,0,1,0.00000768,1,0.001162791,1,0.000135593,1,0.00003876,,0,7,0.018348715,0.00212231,0.031810531,16
잠원동,서초구,,0,1,0.000168612,1,0.016666667,,0,,0,2,0.000015361,,0,1,0.000135593,2,0.000077519,,0,12,0.017063752,0.003530497,0.031139648,17
방화3동,강서구,1,0.000422535,1,0.000168612,1,0.016666667,,0,2,0.000639269,6,0.000046083,,0,1,0.000135593,,0,,0,11,0.018078759,0.001799549,0.031050981,18
양평2동,영등포구,,0,,0,1,0.016666667,,0,2,0.000639269,5,0.000038402,,0,1,0.000135593,,0,,0,9,0.017479931,0.00257467,0.030857198,19
성수2가1동,성동구,,0,,0,1,0.016666667,,0,,0,3,0.000023041,1,0.001162791,,0,,0,,0,7,0.017852499,0.001900388,0.030785731,20
반포3동,서초구,,0,,0,1,0.016666667,1,0.001041667,,0,1,0.00000768,,0,,0,,0,,0,22,0.017716014,0.002116356,0.030780867,21
자양4동,광진구,,0,3,0.000505837,1,0.016666667,,0,,0,1,0.00000768,,0,,0,,0,,0,9,0.017180184,0.002679448,0.030476986,22
자양2동,광진구,,0,,0,1,0.016666667,,0,,0,7,0.000053763,,0,1,0.000135593,,0,,0,20,0.016856023,0.002355221,0.029628266,23
잠실4동,송파구,,0,,0,1,0.016666667,,0,,0,3,0.000023041,,0,1,0.000135593,,0,,0,6,0.016825301,0.002327561,0.029550898,24
풍납1동,송파구,,0,,0,1,0.016666667,,0,,0,2,0.000015361,,0,,0,,0,,0,3,0.016682028,0.001510034,0.028501555,25
반포본동,서초구,,0,,0,1,0.016666667,,0,,0,3,0.000023041,,0,1,0.000135593,,0,,0,6,0.016825301,0.001093211,0.028316548,26
명동,중구,,0,21,0.003540856,,0,,0,12,0.003835616,2,0.000015361,2,0.002325581,2,0.000271186,18,0.000697674,,0,57,0.010686274,0.004165028,0.021455419,27
