,대학교명,구,lat,lon
0,서울시립대학교,동대문구,37.583634,127.058858
1,서울여자대학교,노원구,37.6280329,127.0904235
2,서일대학교,중랑구,37.5861321,127.097475
3,성공회대학교,구로구,37.4878453,126.8257613
4,성신여자대학교,강북구,37.6325635,127.0276892
5,세종대학교,광진구,37.5514706,127.073884
6,숙명여자대학교,용산구,37.5459469,126.9645778
7,숭실대학교,동작구,37.4962518,126.9573151
8,연세대학교,서대문구,37.5649367,126.9383335
9,이화여자대학교,서대문구,37.5617773,126.9466193
10,인덕대학교,노원구,37.630813,127.0550871
11,장로회신학대학교,광진구,37.5503345,127.1040572
12,중앙대학교 서울캠퍼스,동작구,37.5048875,126.9573779
13,총신대학교,동작구,37.4892845,126.9669811
14,추계예술대학교,서대문구,37.5627656,126.9527363
15,한국성서대학교,노원구,37.648778,127.0643529
16,한국예술종합학교,성북구,37.6059752,127.0567034
17,한국외국어대학교,동대문구,37.5973078,127.0582878
18,한성대학교,성북구,37.5825085,127.0102929
19,한양대학교,성동구,37.5545036,127.0466112
20,한양여자대학교,성동구,37.5581375,127.0499022
21,건국대학교,광진구,37.5438883,127.0759546
22,경기대학교,서대문구,37.5649767,126.9623605
23,경희대학교,동대문구,37.5964494,127.0525009
24,고려대학교,성북구,37.5899103,127.0318122
25,광운대학교,노원구,37.6197992,127.0584363
26,국민대학교,성북구,37.6121866,126.995341
27,그리스도대학교,강서구,37.5486261,126.8548772
28,덕성여자대학교,도봉구,37.6515354,127.0166028
29,동덕여자대학교,성북구,37.6068369,127.0419803
30,동양미래대학교,구로구,37.5009475,126.8675318
31,디지털서울문화예술대학교,서대문구,37.5854688,126.9439048
32,명지대학교 인문캠퍼스,서대문구,37.580597,126.9230255
33,명지전문대학,서대문구,37.5846502,126.9254007
34,사이버한국외국어대학교,동대문구,37.5973078,127.0582878
35,삼육대학교,노원구,37.6429794,127.1042695
36,삼육보건대학교,동대문구,37.5879909,127.0653066
37,서경대학교,성북구,37.6150457,127.0133575
38,서울과학기술대학교,노원구,37.6330789,127.0767948
39,서울대학교,관악구,37.464007,126.9522394
40,서울사이버대학교,강북구,37.6299155,127.0271207
41,가톨릭대학교,서초구,37.500795,127.006363
42,가톨릭대학교,종로구,37.585464,127.004309
43,국제예술대학,강남구,37.51672,127.031097
44,동국대학교,중구,37.558106,127.000196
45,배화여자대학교,종로구,37.578939,126.966369
46,백석예술대학교,서초구,37.480236,126.996621
47,상명대학교,종로구,37.602825,126.954995
48,서강대학교,마포구,37.550749,126.941056
49,서울교육대학교,서초구,37.489978,127.016563
50,서울기독대학교,은평구,37.600838,126.912511
51,서울디지털대학교,마포구,37.554895,126.85405
52,성균관대학교,종로구,37.588023,126.993617
53,숭의여자대학교,중구,37.556567,126.987808
54,적십자간호대학,종로구,37.50615,126.959293
55,한국방송통신대학교,종로구,37.579003,127.003557
56,한국체육대학교,송파구,37.519422,127.131091
57,홍익대학교,마포구,37.551447,126.924785
