,자치구,호텔명,소재지/홈페이지주소,위도,경도
0,종로구,JW 메리어트 동대문 스퀘어 서울,종로구 청계천로 279,37.5704485,127.0087438
1,중구,호텔 롯데,서울 중구 소공동 1 ,37.5648098,126.9810895
2,중구,서울 신라호텔,서울 중구 장충동2가 202,37.55675,127.006035
3,중구,밀레니엄서울 힐튼,서울 중구 남대문로5가 ,37.5560916,126.975
4,중구,플라자호텔,서울 중구 태평로2가 23 ,37.5646703,126.9779132
5,중구,더웨스틴조선서울,서울 중구 소공로 106 ,37.5645108,126.9802069
6,중구,그랜드앰배서더서울,서울 중구 장충동2가 186-54 ,37.5601796,127.0023951
7,용산구,서울미라마(유) 그랜드하얏트서울,서울시 용산구 한남동 747-7,37.5395437,126.9978135
8,광진구,워커힐호텔,광진구 워커힐로 177,37.5586439,127.1117098
9,서대문구,그랜드힐튼호텔,서울 서대문구 홍은동 201-1 ,37.5891806,126.9352539
10,강서구,메이필드호텔,강서구 외발산동 426 ,37.5471127,126.81819
11,구로구,쉐라톤서울  디큐브시티호텔,서울 구로구 신도림동 692,37.5085848,126.8888975
12,영등포구,콘래드서울호텔,서울영등포구여의도동23,37.5249786,126.9252983
13,서초구,JW메리어트호텔  서울,서울 서초구 반포동 19-3                                                          ,37.5043641,127.0036209
14,서초구,서울팔래스호텔㈜ 더블유에스개발,서울 서초구 반포동 63-1 ,37.5014483,127.002481
15,서초구,The-K호텔,서울 서초구 양재동 202 ,37.4667733,127.0328157
16,강남구,그랜드 인터컨티넨탈 서울파르나스,서울 강남구 삼성동 159-8 ,37.5090478,127.0608928
17,강남구,노보텔앰배서더강남  서울,서울 강남구 역삼동 603 ,37.5053033,127.028867
18,강남구,르네상스서울 호텔,서울 강남구 역삼동 676 ,37.5032117,127.0414916
19,강남구,인터컨티넨탈 서울 코엑스,서울 강남구 삼성동 159-8 ,37.5090478,127.0608928
20,강남구,임피리얼 팰리스  호텔,서울 강남구 논현동 248-7 ,37.5139857,127.0358759
21,강남구,파크하얏트서울,서울 강남구 대치동 995-14 ,37.5085668,127.0641469
22,강남구, 호텔리츠칼튼서울,서울강남구 역삼동 602 ,37.5048665,127.0267962
23,송파구,롯데호텔월드,서울 송파구 잠실동 40-1,37.5112866,127.097939
24,종로구,센터마크호텔,종로구 관훈동 198-42 ,37.5725946,126.9841992
25,종로구,호텔 아벤트리종로,종로구 견지동 65-1 ,37.5731312,126.9834667
26,종로구,호텔 세븐스트리트,종로구 관수동 125-1 ,37.5686262,126.9907047
