,지역,학교명,위도,경도,구
0,서울특별시 서초구,서울교육대학교부설초등학교,37.49073913,127.01542350000001,서초구
1,서울특별시 종로구,서울대학교사범대학부설초등학교,37.577017,127.003091,종로구
2,서울특별시 강남구,서울개원초등학교,37.48161815,127.0587379,강남구
3,서울특별시 강남구,서울개일초등학교,37.48621378,127.05774199999999,강남구
4,서울특별시 강남구,서울구룡초등학교,37.48119253,127.0517549,강남구
5,서울특별시 강남구,서울논현초등학교,37.5,127.0,서초구
6,서울특별시 강남구,서울대곡초등학교,37.49471191,127.06502649999999,강남구
7,서울특별시 강남구,서울대도초등학교,37.49276798,127.05334599999999,강남구
8,서울특별시 강남구,서울대모초등학교,37.481536,127.08656200000001,강남구
9,서울특별시 강남구,서울대왕초등학교,37.46462136,127.10558950000001,강남구
10,서울특별시 강남구,서울대진초등학교,37.49701058,127.07807849999999,강남구
11,서울특별시 강남구,서울대청초등학교,37.49313304,127.08778570000001,강남구
12,서울특별시 강남구,서울대치초등학교,37.49131135,127.0619659,강남구
13,서울특별시 강남구,서울대현초등학교,37.5,127.1,송파구
14,서울특별시 강남구,서울도곡초등학교,37.49950701,127.05444550000001,강남구
15,서울특별시 강남구,서울도성초등학교,37.50146282,127.0488738,강남구
16,서울특별시 서초구,서울반원초등학교,37.5,127.0,서초구
17,서울특별시 서초구,서울반포초등학교,37.5028857,126.9915,서초구
18,서울특별시 서초구,서울방배초등학교,37.48676419,126.98713719999999,서초구
19,서울특별시 서초구,서울방일초등학교,37.4,126.9,안양시 만안구
20,서울특별시 서초구,서울방현초등학교,37.4,126.9,안양시 만안구
21,서울특별시 강남구,서울봉은초등학교,37.52008278,127.06093090000002,강남구
22,서울특별시 강남구,서울삼릉초등학교,37.51325956,127.04694950000001,강남구
23,서울특별시 서초구,서울서래초등학교,37.5,126.9,영등포구
24,서울특별시 서초구,서울서원초등학교,37.5,127.0,서초구
25,서울특별시 서초구,서울서이초등학교,37.5,127.0,서초구
26,서울특별시 서초구,서울서일초등학교,37.48529597,127.0221612,서초구
27,서울특별시 서초구,서울서초초등학교,37.499311,127.024064,서초구
28,서울특별시 강남구,서울수서초등학교,37.4,127.1,성남시 분당구
29,서울특별시 강남구,서울신구초등학교,37.5233613,127.02399150000001,강남구
30,서울특별시 서초구,서울신동초등학교,37.51712824,127.0113885,서초구
31,서울특별시 서초구,서울신중초등학교,37.4799348,127.0102613,서초구
32,서울특별시 강남구,서울압구정초등학교,37.531791,127.02978999999999,강남구
33,서울특별시 서초구,서울양재초등학교,37.47416448,127.0318939,서초구
34,서울특별시 강남구,서울양전초등학교,37.4,127.0,의왕시
35,서울특별시 서초구,서울언남초등학교,37.4,127.0,의왕시
36,서울특별시 강남구,서울언북초등학교,37.5,127.0,서초구
37,서울특별시 강남구,서울언주초등학교,37.4,127.0,의왕시
38,서울특별시 강남구,서울역삼초등학교,37.49316115,127.03260300000001,강남구
39,서울특별시 강남구,서울영희초등학교,37.49230166,127.08113119999999,강남구
40,서울특별시 강남구,서울왕북초등학교,37.4,127.0,의왕시
41,서울특별시 서초구,서울우암초등학교,37.47229591,127.02372199999999,서초구
42,서울특별시 서초구,서울원명초등학교,37.50077618,127.0167058,서초구
43,서울특별시 서초구,서울원촌초등학교,37.5,127.0,서초구
44,서울특별시 서초구,서울이수초등학교,37.47837007,126.9844162,서초구
45,서울특별시 강남구,서울일원초등학교,37.48978925,127.07632509999999,강남구
46,서울특별시 서초구,서울잠원초등학교,37.5,126.9,영등포구
47,서울특별시 강남구,서울청담초등학교,37.52827458,127.0451443,강남구
48,서울특별시 강남구,서울포이초등학교,37.47529287,127.0514162,강남구
49,서울특별시 강남구,서울학동초등학교,37.51206565,127.03980940000001,강남구
50,서울특별시 송파구,서울가동초등학교,37.49741173,127.1300169,송파구
51,서울특별시 송파구,서울가원초등학교,37.48944098,127.11102930000001,송파구
52,서울특별시 송파구,서울가주초등학교,37.49656559,127.1292872,송파구
53,서울특별시 강동구,서울강동초등학교,37.54636479,127.1301879,강동구
54,서울특별시 강동구,서울강일초등학교,37.5,127.1,송파구
55,서울특별시 송파구,서울거여초등학교,37.50516583,127.14097360000001,송파구
56,서울특별시 송파구,서울거원초등학교,37.487601,127.144669,송파구
57,서울특별시 강동구,서울고덕초등학교,37.560722999999996,127.16655700000001,강동구
58,서울특별시 강동구,서울고명초등학교,37.55297225,127.14743729999999,강동구
59,서울특별시 강동구,서울길동초등학교,37.53859177,127.1449741,강동구
60,서울특별시 송파구,서울남천초등학교,37.501445200000006,127.1507649,송파구
61,서울특별시 강동구,서울대명초등학교,37.547292,127.15324299999999,강동구
62,서울특별시 송파구,서울마천초등학교,37.49550698,127.1526301,송파구
63,서울특별시 강동구,서울명덕초등학교,37.55676296,127.1450817,강동구
64,서울특별시 강동구,서울명원초등학교,37.55128893,127.1504986,강동구
65,서울특별시 강동구,서울명일초등학교,37.55454236,127.14256950000001,강동구
66,서울특별시 강동구,서울묘곡초등학교,37.558201000000004,127.153231,강동구
67,서울특별시 송파구,서울문덕초등학교,37.485326,127.12739499999999,송파구
68,서울특별시 송파구,서울문정초등학교,37.48907312,127.1290119,송파구
69,서울특별시 송파구,서울방산초등학교,37.509493,127.12106599999998,송파구
70,서울특별시 송파구,서울방이초등학교,37.513554,127.12093999999999,송파구
71,서울특별시 송파구,서울삼전초등학교,37.50169921,127.09326940000001,송파구
72,서울특별시 강동구,서울상일초등학교,37.54757172,127.1726617,강동구
73,서울특별시 송파구,서울석촌초등학교,37.5,127.1,송파구
74,서울특별시 강동구,서울선린초등학교,37.52921,127.145793,강동구
75,서울특별시 강동구,서울선사초등학교,37.55584906,127.1282034,강동구
76,서울특별시 강동구,서울성내초등학교,37.53135876,127.1225001,강동구
77,서울특별시 강동구,서울성일초등학교,37.53,127.11,송파구
78,서울특별시 송파구,서울세륜초등학교,37.51855907,127.13416200000002,송파구
79,서울특별시 송파구,서울송전초등학교,37.50881566,127.0951331,송파구
80,서울특별시 송파구,서울송파초등학교,37.50713665,127.11111880000001,송파구
81,서울특별시 송파구,서울신가초등학교,37.50036334,127.1198801,송파구
