,전철역명,X,Y,구
0,가락시장,37.492522,127.118234,송파구
1,종로3가,37.571607,126.991806,종로구
2,오금,37.502162,127.128111,송파구
3,동대문,37.57142,127.009745,종로구
4,동대문역사문화공원,37.565138,127.007896,중구
5,충무로,37.561243,126.99428,중구
6,서울,37.554648,126.972559,중구
7,신도림,37.508725,126.891295,구로구
8,이촌,37.522272,126.974345,용산구
9,왕십리,37.561533,127.037732,성동구
10,시청,37.564718,126.977108,중구
11,교대,37.493415,127.01408,서초구
12,신설동,37.575297,127.025087,동대문구
13,강변,37.535095,127.094681,광진구
14,까치산,37.531768,126.846683,강서구
15,을지로3가,37.566295,126.99191,중구
16,홍대입구,37.557192,126.925381,마포구
17,광운대,37.623632,127.061835,노원구
18,상봉,37.596362,127.085032,중랑구
19,망우,37.59955,127.091909,중랑구
20,영등포구청,37.52497,126.895951,영등포구
21,신길,37.517122,126.917169,영등포구
22,을지로4가,37.566941,126.998079,중구
23,합정,37.549463,126.913739,마포구
24,공덕,37.544018,126.951592,마포구
25,삼각지,37.534777,126.97311,용산구
26,약수,37.55434,127.010655,중구
27,신당,37.565972,127.01782,중구
28,동묘앞,37.572627,127.016429,종로구
29,석계,37.614805,127.065851,성북구
30,도봉산,37.689313,127.046222,도봉구
31,불광,37.610469,126.929887,은평구
32,연신내,37.619001,126.921008,은평구
33,회기,37.58946,127.057583,동대문구
34,디지털미디어시티,37.576646,126.900984,마포구
36,선정릉,37.51098,127.043593,강남구
37,종합운동장,37.510997,127.073642,송파구
38,천호,37.538397,127.123572,강동구
39,창동,37.653166,127.047731,도봉구
40,사당,37.47653,126.981685,관악구
41,노원,37.655128,127.061368,노원구
42,군자,37.557121,127.079542,광진구
43,건대입구,37.540693,127.07023,광진구
44,고속터미널,37.50481,127.004943,서초구
45,총신대입구(이수),37.486263,126.981989,동작구
46,대림,37.49297,126.895801,영등포구
47,가산디지털단지,37.481072,126.882343,금천구
48,온수,37.492258,126.823388,구로구
49,잠실,37.51395,127.102234,송파구
50,복정,37.470047,127.126662,송파구
51,당산,37.53438,126.902281,영등포구
52,여의도,37.521624,126.924191,영등포구
53,동작,37.502971,126.979306,동작구
54,김포공항,37.562434,126.801058,강서구
55,강남,37.497175,127.027926,서초구
56,양재,37.484147,127.034631,서초구
57,강남구청,37.517186,127.04128,강남구
58,선릉,37.504503,127.049008,강남구
59,효창공원앞,37.539261,126.961351,용산구
60,태릉입구,37.617983,127.07512,노원구
61,청량리,37.580178,127.046835,동대문구
62,중랑,37.594917,127.076116,중랑구
63,청구,37.560245,127.013828,중구
64,성신여대입구,37.592624,127.016403,성북구
65,보문,37.585286,127.019381,성북구
66,옥수,37.540685,127.017965,성동구
67,도곡,37.490858,127.055381,강남구
68,수서,37.487371,127.10188,강남구
69,용산,37.529849,126.964561,용산구
70,종각,37.570161,126.982923,종로구
71,종로5가,37.570926,127.001849,종로구
72,제기동,37.578103,127.034893,동대문구
73,을지로입구,37.566014,126.982618,중구
74,419민주묘지,37.649557,127.013644,강북구
75,가오리,37.64163,127.016795,강북구
76,화계,37.634175,127.017488,강북구
77,한티,37.496237,127.052873,강남구
78,구룡,37.486839,127.058856,강남구
79,홍제,37.588794,126.944094,서대문구
80,경찰병원,37.495918,127.12454,송파구
81,구일,37.496756,126.870793,구로구
82,영등포시장,37.522669,126.905139,영등포구
83,상일동,37.556712,127.166417,강동구
84,공릉,37.625742,127.072896,노원구
85,상도,37.502834,126.94791,동작구
86,숭의,37.460789,126.638297,미추홀구
87,상왕십리,37.564354,127.029354,성동구
88,한양대,37.555273,127.043655,성동구
89,뚝섬,37.547184,127.047367,성동구
90,성수,37.544581,127.055961,성동구
91,청계산입구,37.447211,127.055664,서초구
92,북한산우이,37.662917,127.012777,강북구
93,구의,37.537077,127.085916,광진구
94,잠실나루,37.520733,127.10379,송파구
95,잠실새내,37.511687,127.086162,송파구
96,삼성,37.508844,127.06316,강남구
97,역삼,37.500622,127.036456,강남구
98,서초,37.491897,127.007917,서초구
99,방배,37.481426,126.997596,서초구
100,낙성대,37.47693,126.963693,관악구
101,서울대입구,37.481247,126.952739,관악구
102,봉천,37.482362,126.941892,관악구
103,신림,37.484201,126.929715,관악구
104,신대방,37.487462,126.913149,관악구
105,구로디지털단지,37.485266,126.901401,구로구
106,문래,37.517933,126.89476,영등포구
107,신촌,37.555134,126.936893,서대문구
108,이대,37.556733,126.946013,마포구
109,아현,37.557384,126.956083,마포구
110,충정로,37.560448,126.962977,서대문구
111,충정로,37.559734,126.964492,중구
112,용답,37.561904,127.050899,성동구
113,신답,37.57004,127.046481,성동구
114,도림천,37.514287,126.882768,구로구
115,양천구청,37.512398,126.865819,양천구
116,신정네거리,37.520074,126.852912,양천구
117,용두,37.574028,127.038091,동대문구
118,구파발,37.636763,126.918821,은평구
119,녹번,37.600927,126.935756,은평구
120,무악재,37.582649,126.950135,서대문구
121,독립문,37.574459,126.957914,종로구
122,경복궁,37.575762,126.97353,종로구
123,안국,37.576477,126.985443,종로구
124,동대입구,37.559052,127.005602,중구
125,금호,37.548034,127.015872,성동구
126,압구정,37.527072,127.028461,강남구
127,신사,37.516334,127.020114,강남구
128,잠원,37.512759,127.01122,서초구
129,남부터미널,37.485013,127.016189,서초구
130,매봉,37.486947,127.046769,강남구
131,대치,37.494612,127.063642,강남구
132,학여울,37.496663,127.070594,강남구
133,대청,37.493514,127.079532,강남구
134,일원,37.483681,127.08439,강남구
135,당고개,37.670272,127.079066,노원구
136,상계,37.660878,127.073572,노원구
137,쌍문,37.648627,127.034709,도봉구
138,수유,37.638052,127.025732,강북구
139,미아,37.62667,127.025983,강북구
140,미아사거리,37.613292,127.030053,강북구
141,길음,37.603407,127.025053,성북구
142,한성대입구,37.588458,127.006221,성북구
143,혜화,37.582336,127.001844,종로구
144,명동,37.560989,126.986325,중구
145,회현,37.558514,126.978246,중구
146,숙대입구,37.54456,126.972106,용산구
147,신용산,37.52917,126.967894,용산구
148,남태령,37.463873,126.989134,서초구
149,남영,37.541021,126.9713,용산구
150,노량진,37.514219,126.942454,동작구
151,대방,37.513342,126.926382,영등포구
152,영등포,37.515504,126.907628,영등포구
153,서빙고,37.519594,126.988537,용산구
154,한남,37.52943,127.009169,용산구
155,응봉,37.549946,127.034538,성동구
156,외대앞,37.596073,127.063549,동대문구
157,신이문,37.601854,127.067325,동대문구
158,월계,37.633212,127.058831,노원구
159,녹천,37.644799,127.051269,도봉구
160,개포동,37.489116,127.06614,강남구
161,대모산입구,37.491373,127.07272,강남구
162,양원,37.606596,127.107906,중랑구
163,국수,37.516169,127.399367,양평군
164,양평(경의중앙선),37.492832,127.491814,양평군
165,서울(경의중앙선),37.556328,126.969522,중구
166,신촌(경의중앙선),37.559778,126.942306,서대문구
167,서강대,37.551881,126.935711,마포구
168,가좌,37.568491,126.915487,서대문구
169,수색,37.580842,126.895611,은평구
170,신내,37.612887,127.103218,중랑구
171,구로,37.503039,126.881966,구로구
172,금천구청,37.455626,126.89398,금천구
173,독산,37.466613,126.889249,금천구
174,개봉,37.494594,126.85868,구로구
175,오류동,37.494526,126.845365,구로구
176,서울숲,37.543617,127.044707,성동구
177,압구정로데오,37.527381,127.040534,강남구
178,신포,37.46874,126.623853,중구
179,방학,37.667503,127.044273,도봉구
180,도봉,37.679563,127.045595,도봉구
181,방화,37.577446,126.812741,강서구
182,개화산,37.572399,126.806171,강서구
183,송정,37.561184,126.811973,강서구
184,마곡,37.560183,126.825448,강서구
185,발산,37.558598,126.837668,강서구
186,우장산,37.548768,126.836318,강서구
187,화곡,37.541513,126.840461,강서구
188,신정,37.524997,126.856191,양천구
189,목동,37.526065,126.864931,양천구
190,오목교,37.524496,126.875181,양천구
191,양평,37.525648,126.885778,영등포구
192,여의나루,37.527098,126.932901,영등포구
193,마포,37.539574,126.945932,마포구
194,애오개,37.553736,126.95682,마포구
195,서대문,37.565773,126.966641,서대문구
196,광화문,37.571026,126.976669,종로구
197,신금호,37.554548,127.020331,성동구
198,행당,37.557322,127.029476,성동구
199,마장,37.5661,127.042973,성동구
200,답십리,37.566747,127.052704,성동구
201,장한평,37.56144,127.064623,성동구
202,아차산,37.551691,127.089761,광진구
203,광나루,37.545303,127.10357,광진구
204,강동,37.535804,127.132481,강동구
205,길동,37.537801,127.140004,강동구
206,굽은다리,37.545477,127.142853,강동구
207,명일,37.55137,127.143999,강동구
208,고덕,37.555004,127.154151,강동구
209,둔촌동,37.527788,127.136248,강동구
210,올림픽공원,37.516078,127.130848,송파구
211,방이,37.508857,127.126133,송파구
212,개롱,37.498079,127.13482,송파구
213,거여,37.493105,127.14415,송파구
214,마천,37.49499,127.152781,송파구
215,응암,37.598605,126.915577,은평구
216,역촌,37.606021,126.922744,은평구
217,독바위,37.618456,126.933031,은평구
218,구산,37.611377,126.91727,은평구
219,새절,37.591148,126.913629,은평구
220,증산,37.583876,126.909645,은평구
221,월드컵경기장,37.569532,126.899298,마포구
222,마포구청,37.563515,126.903343,마포구
223,망원,37.556094,126.910052,마포구
224,상수,37.547716,126.922852,마포구
225,광흥창,37.547456,126.931993,마포구
