관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11680-00002,신사근린공원,근린공원,,서울특별시 강남구 압구정동 422,37.5267080,127.0214580,6800,,,,,,,,02-3423-6245,2018-08-27
11680-00003,대청근린공원,근린공원,,서울특별시 강남구 일원동 621,37.4927960,127.0828180,14089.1,,,,,,,,02-3423-6245,2018-08-27
11680-00004,늘푸른근린공원,근린공원,,서울특별시 강남구 일원동 690,37.4898850,127.0774360,11410.3,,,,,,,,02-3423-6245,2018-08-27
11680-00005,개포서근린공원,근린공원,,서울특별시 강남구 개포동 180 외 2필지,37.4886280,127.0641420,11219.2,,,,,,,,02-3423-6245,2018-08-27
11680-00006,개포동근린공원,근린공원,,서울특별시 강남구 개포동 182-1 외 2필지,37.4896860,127.0595260,9705.6,,,,,,,,02-3423-6245,2018-08-27
11680-00007,대치근린공원,근린공원,,서울특별시 강남구 대치동 512,37.4951230,127.0611090,10408.9,,,,,,,,02-3423-6245,2018-08-27
11680-00008,늘벗근린공원,근린공원,,서울특별시 강남구 대치동 501,37.4896230,127.0483940,19812.3,,,,,,,,02-3423-6245,2018-08-27
11680-00009,독골근린공원,근린공원,,서울특별시 강남구 도곡동 461,37.4845520,127.0380700,10022.9,,,,,,,,02-3423-6245,2018-08-27
11680-00010,포이근린공원,근린공원,,서울특별시 강남구 개포동 1239-21 외 5필지,37.4796810,127.0360370,16811.4,,,,,,,,02-3423-6245,2018-08-27
11680-00011,청룡근린공원,근린공원,,서울특별시 강남구 개포동 649-1,37.4855940,127.0456050,9367,,,,,,,,02-3423-6245,2018-08-27
11680-00012,배밭근린공원,근린공원,,서울특별시 강남구 개포동 181 외 1필지,37.4887380,127.0536420,11627.2,,,,,,,,02-3423-6245,2018-08-27
11680-00013,학여울근린공원,근린공원,,서울특별시 강남구 개포동 183-1 외 1필지,37.4910180,127.0595610,12505.6,,,,,,,,02-3423-6245,2018-08-27
11680-00014,청수근린공원,근린공원,,서울특별시 강남구 청담동 134-13 외 12필지,37.5232490,127.0496760,17402,,,,,,,,02-3423-6245,2018-08-27
11680-00015,청담근린공원,근린공원,,서울특별시 강남구 청담동 66 외 4필지,37.5207270,127.0353340,59347,,,,,,,,02-3423-6245,2018-08-27
11680-00016,한티근린공원,근린공원,,서울특별시 강남구 대치동 212-1 외 13필지,37.4949170,127.0536060,19200,,,,,,,,02-3423-6245,2018-08-27
11680-00017,개포근린공원,근린공원,,서울특별시 강남구 개포동 139,37.4830500,127.0551060,90063.9,,,,,,,,02-3423-6245,2018-08-27
11680-00018,달터근린공원,근린공원,,서울특별시 강남구 개포동 156 외 23필지,37.4854340,127.0523540,232078.2,,,,,,,,02-3423-6245,2018-08-27
11680-00019,대진근린공원,근린공원,,서울특별시 강남구 개포동 13-1,37.4960490,127.0700190,13568.4,,,,,,,,02-3423-6245,2018-08-27
11680-00020,탄천근린공원,근린공원,,서울특별시 강남구 수서동 722,37.4874360,127.0975200,10011,,,,,,,,02-3423-6245,2018-08-27
11680-00021,한솔근린공원,근린공원,,서울특별시 강남구 일원동 732,37.4809360,127.0694110,12878.4,,,,,,,,02-3423-6245,2018-08-27
11680-00022,학동근린공원,근린공원,,서울특별시 강남구 논현동 26,37.5155480,127.0164310,29947,,,,,,,,02-3423-6245,2018-08-27
11680-00023,삼성은행나무근린공원,근린공원,,서울특별시 강남구 삼성동 14 외 1필지,37.5164890,127.0369940,1500,,,,,,,,02-3423-6245,2018-08-27
11680-00024,도곡근린공원,근린공원,,서울특별시 강남구 도곡동 산31-1 외 193필지,37.4896700,127.0418610,254648,,,,,,,,02-3423-6245,2018-08-27
11680-00025,싸리고개근린공원,근린공원,,서울특별시 강남구 도곡동 550 외 5필지,37.4899530,127.0318400,15072.5,,,,,,,,02-3423-6245,2018-08-27
11680-00026,갈매기근린공원,근린공원,,서울특별시 강남구 압구정동 480,37.5314960,127.0301230,7732,,,,,,,,02-3423-6245,2018-08-27
11680-00027,도성근린공원,근린공원,,서울특별시 강남구 역삼동 713-15 외 1필지,37.5007480,127.0444850,1988.8,,,,,,,,02-3423-6245,2018-08-27
11680-00028,송운근린공원,근린공원,,서울특별시 강남구 역삼동 755-9,37.4998480,127.0446360,1175,,,,,,,,02-3423-6245,2018-08-27
11680-00029,언주근린공원,근린공원,,서울특별시 강남구 역삼동 754-7 외 1필지,37.4990590,127.0432680,1110.8,,,,,,,,02-3423-6245,2018-08-27
11680-00030,영동근린공원,근린공원,,서울특별시 강남구 역삼동 755-7,37.4985600,127.0463520,1293.6,,,,,,,,02-3423-6245,2018-08-27
11680-00001,도산근린공원,근린공원,,서울특별시 강남구 신사동 649-9,37.5239110,127.0268370,29816.5,,,,,,,,02-3423-6245,2018-08-27
11680-00031,길섶근린공원,근린공원,,서울특별시 강남구 역삼동 757-1,37.4980810,127.0467080,1580.6,,,,,,,,02-3423-6245,2018-08-27
11680-00032,매봉근린공원,근린공원,,서울특별시 강남구 도곡동 527-7,37.4925890,127.0457620,6146.9,,,,,,,,02-3423-6245,2018-08-27
11680-00033,봉은근린공원,근린공원,,서울특별시 강남구 역삼동 754-4,37.4982470,127.0471360,1147.7,,,,,,,,02-3423-6245,2018-08-27
11680-00034,배꽃근린공원,근린공원,,서울특별시 강남구 삼성동 11-3,37.5166630,127.0402990,1592.9,,,,,,,,02-3423-6245,2018-08-27
11680-00035,반달근린공원,근린공원,,서울특별시 강남구 삼성동 7-4,37.5167000,127.0406160,679.3,,,,,,,,02-3423-6245,2018-08-27
11680-00036,샘터근린공원,근린공원,,서울특별시 강남구 삼성동 16-4,37.5143790,127.0601690,1799.5,,,,,,,,02-3423-6245,2018-08-27
11680-00037,학봉근린공원,근린공원,,서울특별시 강남구 삼성동 50-3,37.5104700,127.0539870,1343,,,,,,,,02-3423-6245,2018-08-27
11680-00038,큰골근린공원,근린공원,,서울특별시 강남구 대치동 888-3,37.4943130,127.0503700,1688.1,,,,,,,,02-3423-6245,2018-08-27
11680-00039,새뜰근린공원,근린공원,,서울특별시 강남구 역삼동 765-30,37.4971830,127.0466070,427.6,,,,,,,,02-3423-6245,2018-08-27
11680-00040,수서제2근린공원,근린공원,,서울특별시 강남구 수서동 749 외 1필지,37.4839500,127.0843380,44587.5,,,,,,,,02-3423-6245,2018-08-27
11680-00041,수서택지개발(대모산부근),근린공원,,서울특별시 강남구 일원동 732-3 외 4필지,37.4814600,127.0760690,11588.6,,,,,,,,02-3423-6245,2018-08-27
11680-00042,수서택지개발(광평부근),근린공원,,서울특별시 강남구 수서동 737-1 외 11필지,37.4873070,127.0927540,7569.1,,,,,,,,02-3423-6245,2018-08-27
11680-00043,세곡동 근린공원1,근린공원,,서울특별시 강남구 세곡동 525-1,37.4746760,127.0912300,10310.4,,,,,,,,02-3423-6245,2018-08-27
11680-00044,세곡공원,근린공원,,서울특별시 강남구 세곡동 산50 외 65필지,37.4690140,127.1047150,101513,,,,,,,,02-3423-6245,2018-08-27
11680-00045,돌산공원,근린공원,,서울특별시 강남구 세곡동 산1 외 32필지,37.4671000,127.1074580,98417,,,,,,,,02-3423-6245,2018-08-27
11680-00046,광평공원,근린공원,,서울특별시 강남구 수서동 산10-1 외 59필지,37.4858670,127.0833890,519782,,,,,,,,02-3423-6245,2018-08-27
11680-00047,압구정 428,근린공원,,서울특별시 강남구 압구정 428,37.5274250,127.0219360,13968.3,,,,,,,,02-3423-6245,2018-08-27
11680-00048,봉은역사공원,역사공원,,서울특별시 강남구 삼성동 75 외 4필지,37.5138880,127.0467230,75635.7,,,,,,,,02-3423-6245,2018-08-27
11680-00049,역삼문화공원,문화공원,,서울특별시 강남구 역삼동 635 외 1필지,37.5026550,127.0259320,33974.9,,,,,,,,02-3423-6245,2018-08-27
11680-00050,다솜소공원,소공원,,서울특별시 강남구 역삼동 763-18,37.4969980,127.0393480,604.1,,,,,,,,02-3423-6245,2018-08-27
11680-00051,도곡단비소공원,소공원,,서울특별시 강남구 도곡동 539-6,37.4939030,127.0469420,896.5,,,,,,,,02-3423-6245,2018-08-27
11680-00052,도곡동 426-9(로덴하우스)소공원,소공원,,서울특별시 강남구 도곡동 462-9,37.4853190,127.0467530,80,,,,,,,,02-3423-6245,2018-08-27
11680-00053,역삼나들이소공원,소공원,,서울특별시 강남구 역삼동 716-5,37.5007480,127.0503640,650,,,,,,,,02-3423-6245,2018-08-27
11680-00054,아크로힐스소공원,소공원,,서울특별시 강남구 논현동 276-2,37.5101000,127.0394920,800,,,,,,,,02-3423-6245,2018-08-27
11680-00055,논현까치공원,어린이공원,,서울특별시 강남구 논현동 162-11,37.5090260,127.0207920,956.7,,,,,,,,02-3423-6247,2018-08-27
11680-00056,논현목련공원,어린이공원,,서울특별시 강남구 논현동 137-18,37.5108510,127.0179420,986,,,,,,,,02-3423-6247,2018-08-27
11680-00057,논현은행나무공원,어린이공원,,서울특별시 강남구 논현동 47-13,37.5126170,127.0136690,1014.5,,,,,,,,02-3423-6247,2018-08-27
11680-00058,논현개나리공원,어린이공원,,서울특별시 강남구 논현동 150-5,37.5112040,127.0256130,1652.9,,,,,,,,02-3423-6247,2018-08-27
11680-00059,논현무궁화공원,어린이공원,,서울특별시 강남구 논현동 205-7,37.5066480,127.0219350,1879.7,,,,,,,,02-3423-6247,2018-08-27
11680-00060,논현소나무공원,어린이공원,,서울특별시 강남구 논현동 239,37.5156850,127.0352810,1819.9,,,,,,,,02-3423-6247,2018-08-27
11680-00061,학동공원,어린이공원,,서울특별시 강남구 논현동 263-23,37.5116460,127.0300090,1498.5,,,,,,,,02-3423-6247,2018-08-27
11680-00062,신사은행나무공원,어린이공원,,서울특별시 강남구 신사동 558,37.5211140,127.0216270,1240.1,,,,,,,,02-3423-6247,2018-08-27
11680-00063,신사목련공원,어린이공원,,서울특별시 강남구 신사동 567-37,37.5228980,127.0170640,1001.1,,,,,,,,02-3423-6247,2018-08-27
11680-00064,신사무궁화공원,어린이공원,,서울특별시 강남구 신사동 625-5,37.5241310,127.0231700,1641.8,,,,,,,,02-3423-6247,2018-08-27
11680-00065,신사까치공원,어린이공원,,서울특별시 강남구 신사동 597,37.5234600,127.0204660,992.9,,,,,,,,02-3423-6247,2018-08-27
11680-00066,신사개나리공원,어린이공원,,서울특별시 강남구 신사동 609-2,37.5262080,127.0273040,991.3,,,,,,,,02-3423-6247,2018-08-27
11680-00067,압구정목련공원,어린이공원,,서울특별시 강남구 압구정동 466,37.5325270,127.0315300,2027.2,,,,,,,,02-3423-6247,2018-08-27
11680-00068,압구정은행나무공원,어린이공원,,서울특별시 강남구 압구정동 459,37.5306890,127.0226770,2547.4,,,,,,,,02-3423-6247,2018-08-27
11680-00069,삼성목련공원,어린이공원,,서울특별시 강남구 삼성동 55-1,37.5185150,127.0451960,1641.4,,,,,,,,02-3423-6247,2018-08-27
11680-00070,삼성까치공원,어린이공원,,서울특별시 강남구 삼성동 85,37.5183240,127.0518650,1462.9,,,,,,,,02-3423-6247,2018-08-27
11680-00071,청담은행나무공원,어린이공원,,서울특별시 강남구 청담동 94-4,37.5251540,127.0354870,1643.8,,,,,,,,02-3423-6247,2018-08-27
11680-00072,청담목련공원,어린이공원,,서울특별시 강남구 청담동 51,37.5229790,127.0410760,1642.1,,,,,,,,02-3423-6247,2018-08-27
11680-00073,도곡까치공원,어린이공원,,서울특별시 강남구 도곡동 455,37.4833260,127.0363400,1793.8,,,,,,,,02-3423-6247,2018-08-27
11680-00074,도곡목련공원,어린이공원,,서울특별시 강남구 도곡동 415-3,37.4849150,127.0355600,1709.2,,,,,,,,02-3423-6247,2018-08-27
11680-00075,역삼장미공원,어린이공원,,서울특별시 강남구 역삼동 780-25,37.4953270,127.0358460,1636.6,,,,,,,,02-3423-6247,2018-08-27
11680-00076,역삼까치공원,어린이공원,,서울특별시 강남구 역삼동 824-10 외1필지,37.4972250,127.0219710,987.2,,,,,,,,02-3423-6247,2018-08-27
11680-00077,역삼무궁화공원,어린이공원,,서울특별시 강남구 역삼동 830-23,37.4938350,127.0234420,991.5,,,,,,,,02-3423-6247,2018-08-27
11680-00078,역삼개나리공원,어린이공원,,서울특별시 강남구 역삼동 739-15,37.4975710,127.0275000,1635,,,,,,,,02-3423-6247,2018-08-27
11680-00079,역삼소나무공원,어린이공원,,서울특별시 강남구 역삼동 836-21,37.4909610,127.0249310,987.3,,,,,,,,02-3423-6247,2018-08-27
11680-00080,역삼은행나무공원,어린이공원,,서울특별시 강남구 역삼동 611,37.5054090,127.0224400,1647.1,,,,,,,,02-3423-6247,2018-08-27
11680-00081,대치목련공원,어린이공원,,서울특별시 강남구 대치동 929-10,37.4998040,127.0494170,1649.1,,,,,,,,02-3423-6247,2018-08-27
11680-00082,대치까치공원,어린이공원,,서울특별시 강남구 대치동 1014-4,37.4969410,127.0584580,992.2,,,,,,,,02-3423-6247,2018-08-27
11680-00083,대치은행나무공원,어린이공원,,서울특별시 강남구 대치동 899-25,37.5016490,127.0427770,1618.7,,,,,,,,02-3423-6247,2018-08-27
11680-00084,개포까치공원,어린이공원,,서울특별시 강남구 개포동 169-3,37.4836840,127.0521230,1690.2,,,,,,,,02-3423-6247,2018-08-27
11680-00085,개포공원,어린이공원,,서울특별시 강남구 개포동 190,37.4852350,127.0671250,4793.8,,,,,,,,02-3423-6247,2018-08-27
11680-00086,개포개나리공원,어린이공원,,서울특별시 강남구 개포동 190,37.4852350,127.0671250,1500.6,,,,,,,,02-3423-6247,2018-08-27
11680-00087,개포은행나무공원,어린이공원,,서울특별시 강남구 개포동 1220,37.4760110,127.0405080,1641.7,,,,,,,,02-3423-6247,2018-08-27
11680-00088,개포목련공원,어린이공원,,서울특별시 강남구 개포동 1176,37.4742380,127.0436750,1639.1,,,,,,,,02-3423-6247,2018-08-27
11680-00089,일원은행나무공원,어린이공원,,서울특별시 강남구 일원동 615-2,37.4920020,127.0682140,1500.3,,,,,,,,02-3423-6247,2018-08-27
11680-00090,일원목련공원,어린이공원,,서울특별시 강남구 일원동 658,37.4914310,127.0768070,1613.8,,,,,,,,02-3423-6247,2018-08-27
11680-00091,일원까치공원,어린이공원,,서울특별시 강남구 일원동 712-4,37.4920600,127.0794190,1476.3,,,,,,,,02-3423-6247,2018-08-27
11680-00092,궁마을공원,어린이공원,,서울특별시 강남구 수서동 465-15,37.4848310,127.0906470,306,,,,,,,,02-3423-6247,2018-08-27
11680-00093,예지공원,어린이공원,,서울특별시 강남구 개포동 12-7,37.4919530,127.0644060,1535.9,,,,,,,,02-3423-6247,2018-08-27
11680-00094,한마음공원,어린이공원,,서울특별시 강남구 개포동 12-3,37.4960130,127.0670340,2488.1,,,,,,,,02-3423-6247,2018-08-27
11680-00095,일원장미공원,어린이공원,,서울특별시 강남구 일원동 732-4,37.4806810,127.0719490,1500,,,,,,,,02-3423-6247,2018-08-27
11680-00096,일원개나리공원,어린이공원,,서울특별시 강남구 일원동 730-3,37.4829930,127.0677280,4453.6,,,,,,,,02-3423-6247,2018-08-27
11680-00097,일원느티나무공원,어린이공원,,서울특별시 강남구 일원동 730-2,37.4830470,127.0686920,1825.7,,,,,,,,02-3423-6247,2018-08-27
11680-00098,일원소나무공원,어린이공원,,서울특별시 강남구 일원동 718-1,37.4840610,127.0730130,1500.6,,,,,,,,02-3423-6247,2018-08-27
11680-00099,일원상록수공원,어린이공원,,서울특별시 강남구 일원동 734-1,37.4821020,127.0734400,1500.4,,,,,,,,02-3423-6247,2018-08-27
11680-00100,일원비둘기공원,어린이공원,,서울특별시 강남구 일원동 735-1,37.4839600,127.0815200,1501,,,,,,,,02-3423-6247,2018-08-27
11680-00101,일원진달래공원,어린이공원,,서울특별시 강남구 일원동 716-1,37.4847530,127.0759660,1500.1,,,,,,,,02-3423-6247,2018-08-27
11680-00102,일원새싹공원,어린이공원,,서울특별시 강남구 수서동 746-1,37.4847720,127.0803200,1500.2,,,,,,,,02-3423-6247,2018-08-27
11680-00103,수서까치공원,어린이공원,,서울특별시 강남구 수서동 736-1,37.4871400,127.0891830,1500.2,,,,,,,,02-3423-6247,2018-08-27
11680-00104,수서은행나무공원,어린이공원,,서울특별시 강남구 수서동 707-1,37.4913470,127.0910510,1500.4,,,,,,,,02-3423-6247,2018-08-27
11680-00105,수서목련공원,어린이공원,,서울특별시 강남구 수서동 712-1,37.4911690,127.0993140,1418.8,,,,,,,,02-3423-6247,2018-08-27
11680-00106,수서개나리공원,어린이공원,,서울특별시 강남구 수서동 723-1,37.4875180,127.0966530,1500.1,,,,,,,,02-3423-6247,2018-08-27
11680-00107,아래반고개공원,어린이공원,,서울특별시 강남구 세곡동 129-13 외 필지,37.4638740,127.0983390,863,,,,,,,,02-3423-6247,2018-08-27
11680-00108,윗반고개공원,어린이공원,,서울특별시 강남구 세곡동 99-6 외 11필지,37.4663330,127.1046170,1250,,,,,,,,02-3423-6247,2018-08-27
11680-00109,은곡마을공원,어린이공원,,서울특별시 강남구 세곡동 369-3,37.4685600,127.0961740,2686,,,,,,,,02-3423-6247,2018-08-27
11680-00110,쟁골공원,어린이공원,,서울특별시 강남구 자곡동 233-2,37.4819200,127.0933190,468,,,,,,,,02-3423-6247,2018-08-27
11680-00111,못골공원,어린이공원,,서울특별시 강남구 자곡동 447-23 외 1필지,37.4735730,127.0914060,749,,,,,,,,02-3423-6247,2018-08-27
11680-00112,윗방죽마을공원,어린이공원,,서울특별시 강남구 율현동 308-29,37.4702760,127.1001110,935,,,,,,,,02-3423-6247,2018-08-27
11680-00113,아래방죽마을공원,어린이공원,,서울특별시 강남구 율현동 194-1,37.4732760,127.0994500,386,,,,,,,,02-3423-6247,2018-08-27
11680-00114,충현공원,어린이공원,,서울특별시 강남구 역삼동 666-2 외2필지,37.5047000,127.0277670,2721.8,,,,,,,,02-3423-6247,2018-08-27
11680-00115,세곡천공원,어린이공원,,서울특별시 강남구 세곡동 522-1,37.4624260,127.0975520,2645.1,,,,,,,,02-3423-6247,2018-08-27
11680-00116,대왕공원,어린이공원,,서울특별시 강남구 세곡동 526-2,37.4744860,127.0910640,2633.1,,,,,,,,02-3423-6247,2018-08-27
11680-00117,근린공원1호,근린공원,,서울특별시 강남구 세곡동 603,37.4664450,127.0953310,18856.7,,,,,,,,02-3423-6245,2018-08-27
11680-00118,근린공원2호,근린공원,,서울특별시 강남구 자곡동 625,37.4693170,127.0907500,5236.8,,,,,,,,02-3423-6245,2018-08-27
11680-00119,근린공원3호,근린공원,,서울특별시 강남구 자곡동 615,37.4726080,127.0930710,38003.6,,,,,,,,02-3423-6245,2018-08-27
11680-00120,근린공원4호,근린공원,,서울특별시 강남구 자곡동 608번지 외 1,37.4745150,127.0963810,24247.1,,,,,,,,02-3423-6245,2018-08-27
11680-00121,근린공원5호,근린공원,,서울특별시 강남구 자곡동 607,37.4728210,127.0978670,21560.9,,,,,,,,02-3423-6245,2018-08-27
11680-00122,근린공원6호,근린공원,,서울특별시 강남구 자곡동 647,37.4722670,127.1018050,19739.5,,,,,,,,02-3423-6245,2018-08-27
11680-00123,근린공원7호,근린공원,,서울특별시 강남구 자곡동 627번지 외 1,37.4710580,127.0928040,12093,,,,,,,,02-3423-6245,2018-08-27
11680-00124,수변공원1호,수변공원,,서울특별시 강남구 세곡동604-1 외,37.4656640,127.0971810,10399.2,,,,,,,,02-3423-6245,2018-08-27
11680-00125,수변공원2호,수변공원,,서울특별시 강남구 세곡동 537,37.4650720,127.0937550,3713.3,,,,,,,,02-3423-6245,2018-08-27
11680-00126,쉼표소공원,소공원,,서울특별시 강남구 세곡동 549,37.4675180,127.0998510,1199.2,,,,,,,,02-3423-6245,2018-08-27
11680-00127,대치청실아파트 소공원1,소공원,,서울특별시 강남구 대치동 633,37.4942980,127.0583200,3845,,,,,,,,02-3423-6245,2018-08-27
11680-00128,대치청실아파트 소공원2,소공원,,서울특별시 강남구 대치동 610,37.4954430,127.0610290,610,,,,,,,,02-3423-6245,2018-08-27
11680-00129,역삼미소공원,소공원,,서울특별시 강남구 역삼동 711-5,37.3003000,127.0238000,576,,,,,,,,02-3423-6245,2018-08-27
11680-00130,도곡햇살공원,소공원,,서울특별시 강남구 도곡동 538-4,37.2942000,127.0302000,558.5,,,,,,,,02-3423-6245,2018-08-27
11680-00131,도담공원,어린이공원,,서울특별시 강남구 세곡동 548,37.2802000,127.0555000,4282.7,,,,,,,,02-3423-6247,2018-08-27
11680-00132,행복공원,어린이공원,,서울특별시 강남구 세곡동 546,37.2802000,127.0549000,2483.5,,,,,,,,02-3423-6247,2018-08-27
11680-00133,대치에스케이뷰1 소공원,소공원,,서울특별시 강남구 대치동 1029-2,37.2944000,127.0337000,302,,,,,,,,02-3423-6244,2018-08-27
