"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11500-00022,마곡3,근린공원,,서울특별시 강서구 공항동 1220,37.5566991,126.8126586,25501,,,,,,2007-12-28,서울특별시 강서구청,,2018-02-19
11500-00021,마곡2,근린공원,,서울특별시 강서구 방화동 210-1,37.566183,126.813091,18620,,,,,,2007-12-28,서울특별시 강서구청,,2018-02-19
11500-00020,서울식물원,근린공원,,서울특별시 강서구 마곡동 255-1,37.5697826,126.8230682,498059,,,,,,2007-12-28,서울특별시 강서구청,,2018-02-19
11500-00007,등마루,근린공원,서울특별시 강서구 까치산로28길 33-15,서울특별시 강서구 화곡동 산199,37.5527155,126.8471847,74299,,,,,,1977-07-09,서울특별시 강서구청,02-2600-4184,2018-02-19
11500-00006,개화,근린공원,,서울특별시 강서구 개화동 산17,37.5880104,126.7967799,386500,,,,,,1977-07-09,서울특별시 강서구청,02-2600-4183,2018-02-19
11500-00019,발산,근린공원,서울특별시 강서구 마곡중앙로 11,서울특별시 강서구 내발산동 739,37.5552353,126.816945,17825.5,,,,,,2005-02-01,서울특별시 강서구청,02-2600-4185,2018-02-19
11500-00018,수명산,근린공원,,서울특별시 강서구 내발산동 748,37.5399061,126.8497499,83807.1,,,,,,2003-12-26,서울특별시 강서구청,02-2600-4185,2018-02-19
11500-00005,봉제산,근린공원,,서울특별시 강서구 화곡동 산1,37.5399061,126.8497499,917190,,,,,,1977-07-09,서울특별시 강서구청,02-2600-4184,2018-02-19
11500-00004,꿩고개,근린공원,,서울특별시 강서구 방화동 산97-1,37.5779834,126.8081049,180000,,,,,,1977-07-09,서울특별시 강서구청,02-2600-4183,2018-02-19
11500-00016,매화,근린공원,,서울특별시 강서구 등촌동 630-14,37.5575354,126.852151,1980.4,,,,,,1997-06-11,서울특별시 강서구청,02-2600-4187,2018-02-19
11500-00010,황금내,근린공원,서울특별시 강서구 허준로 221-40,서울특별시 강서구 가양동 1485-5,37.562001,126.8549772,22002.9,,,,,,1990-05-22,서울특별시 강서구청,02-2600-4187,2018-02-19
11500-00013,서낭당,근린공원,서울특별시 강서구 공항대로43길 46,서울특별시 강서구 등촌동 706,37.5585664,126.8412098,10248.8,,,,,,1990-07-26,서울특별시 강서구청,02-2600-4187,2018-02-19
11500-00012,등촌,근린공원,서울특별시 강서구 강서로62길 35,서울특별시 강서구 등촌동 687-4,37.5633836,126.8330348,10051.6,,,,,,1990-07-26,서울특별시 강서구청,02-2600-4187,2018-02-19
11500-00011,원당,근린공원,서울특별시 강서구 강서로56길 49,서울특별시 강서구 등촌동 690-5,37.5597817,126.8332728,10096.4,,,,,,1990-07-26,서울특별시 강서구청,02-2600-4187,2018-02-19
11500-00015,옹기골,근린공원,서울특별시 강서구 양천로 149,서울특별시 강서구 방화동 842,37.5741604,126.8120789,9723.6,,,,,,1990-12-29,서울특별시 강서구청,02-2600-4185,2018-02-19
11500-00014,방화,근린공원,서울특별시 강서구 금낭화로 176,서울특별시 강서구 방화동 855,37.5809066,126.8053528,72132,,,,,,1990-12-29,서울특별시 강서구청,02-2600-4185,2018-02-19
11500-00017,까치산,근린공원,,서울특별시 강서구 화곡동 산162-1,37.5366087,126.8352482,27646,,,,,,1991-04-07,서울특별시 강서구청,02-2600-4185,2018-02-19
11500-00003,염창,근린공원,서울특별시 강서구 양천로67길 43,서울특별시 강서구 염창동 산24-1,37.5578077,126.8602426,112070,,,,,,1977-07-09,서울특별시 강서구청,02-2600-4187,2018-02-19
11500-00002,궁산,근린공원,,서울특별시 강서구 가양동 산4-7,37.5740992,126.8320968,135002.7,,,,,,1977-07-09,서울특별시 강서구청,02-2600-4185,2018-02-19
11500-00001,우장,근린공원,서울특별시 강서구 우장산로 72,서울특별시 강서구 화곡동 산60-1,37.549633,126.8335962,359435.2,,,,,,1971-08-06,서울특별시 강서구청,02-2600-4185,2018-02-19
11500-00009,구암,근린공원,서울특별시 강서구 허준로5길 42,서울특별시 강서구 가양동 1471,37.5677661,126.8438258,29843.8,,,,,,1990-05-22,서울특별시 강서구청,02-2600-4187,2018-02-19
11500-00008,공암나루,근린공원,서울특별시 강서구 강서로80길 117,서울특별시 강서구 가양동 1459-9,37.569929,126.8413725,25680.4,,,,,,1990-05-22,서울특별시 강서구청,02-2600-4187,2018-02-19
