"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11620-00001,상도근린공원,근린공원,서울특별시 관악구 국회단지길 144,서울특별시 관악구 은천동 산 103-52,37.491697,126.9413684,87458,배드민턴장,조합놀이대,화장실,,,1940-03-12,서울특별시 관악구청,02-879-6503,2018-08-16
11620-00002,호박골,어린이공원,서울특별시 관악구 신원동 1580-22,서울특별시 관악구 신원동 1580-22,37.4819298,126.9239323,417,,흔들말+조합놀이대,,,,1944-08-10,서울특별시 관악구청,02-879-6503,2018-08-16
11620-00003,해태,어린이공원,서울특별시 관악구 서림3길 47,서울특별시 관악구 서림동 103-141,37.4722826,126.9406124,1359,,그네+흔들말+조합놀이대,,,,1970-07-02,서울특별시 관악구청,02-879-6503,2018-08-16
11620-00004,당곡,어린이공원,서울특별시 관악구 보라매동 662-122,서울특별시 관악구 보라매동 662-122,37.4886783,126.9335397,294,,조합놀이대,,,,1970-07-04,서울특별시 관악구청,02-879-6503,2018-08-16
11620-00005,군아파트,어린이공원,서울특별시 관악구 남현동 602-143,서울특별시 관악구 남현동 602-143,37.4718225,126.9789321,926,,그네+조합놀이대,,,,1970-08-17,서울특별시 관악구청,02-879-6503,2018-08-16
11620-00006,상록,어린이공원,서울특별시 관악구 승방3나길 14,서울특별시 관악구 남현동 602-196,37.4728673,126.9805437,1557,,그네+흔들말+조합놀이대,,,,1970-08-17,서울특별시 관악구청,02-879-6503,2018-08-16
11620-00007,남현,어린이공원,서울특별시 관악구 남현동 602-333,서울특별시 관악구 남현동 602-333,37.4718649,126.9813329,554,,,,,,1970-08-17,서울특별시 관악구청,02-879-6504,2018-08-16
11620-00008,예촌,어린이공원,서울특별시 관악구 남현길 41,서울특별시 관악구 남현동 1083-1,37.4745813,126.9768145,1509,,그네+흔들말+조합놀이대,화장실,,,1970-09-03,서울특별시 관악구청,02-879-6504,2018-08-16
11620-00009,난우,어린이공원,서울특별시 관악구 난곡동 652-160,서울특별시 관악구 난곡동 652-160,37.4664022,126.9218691,241,,그네+조합놀이대,,,,1970-09-03,서울특별시 관악구청,02-879-6504,2018-08-16
11620-00010,남부,어린이공원,서울특별시 관악구 남부순환로163가길 20,서울특별시 관악구 신사동 483-14,37.484769,126.9206792,990,,그네+흔들말+조합놀이대+오르는기구,,,,1970-09-03,서울특별시 관악구청,02-879-6504,2018-08-16
11620-00011,새들,어린이공원,서울특별시 관악구 신림동 1441-42,서울특별시 관악구 신림동 1441-42,37.4886095,126.9257407,979,,그네+흔들말+조합놀이대+오르는기구,,,,1970-09-03,서울특별시 관악구청,02-879-6504,2018-08-16
11620-00012,색동,어린이공원,서울특별시 관악구 신림로70길 74,서울특별시 관악구 신림동 1418-1,37.4865331,126.9325548,952,,그네+흔들말+조합놀이대,,,,1970-09-03,서울특별시 관악구청,02-879-6504,2018-08-16
11620-00013,새숲,어린이공원,서울특별시 관악구 조원동 539-14,서울특별시 관악구 조원동 539-14,37.4823741,126.9131076,991,,흔들말+조합놀이대+오르는기구,,,,1970-09-03,서울특별시 관악구청,02-879-6504,2018-08-16
11620-00014,장군봉,소공원,서울특별시 관악구 서원동 94-252,서울특별시 관악구 서원동 94-252,37.4780538,126.939008,175,,,,,,1970-09-03,서울특별시 관악구청,02-879-6505,2018-08-16
11620-00015,은천,어린이공원,서울특별시 관악구 은천동 635-309,서울특별시 관악구 은천동 635-309,37.4882227,126.942996,443,,흔들말+조합놀이대,,,,1971-02-15,서울특별시 관악구청,02-879-6504,2018-08-16
11620-00016,국회단지,어린이공원,서울특별시 관악구 은천동 635-37,서울특별시 관악구 은천동 635-37,37.4902736,126.9432114,1200,,미끄럼틀+흔들말+조합놀이대,,,,1971-02-15,서울특별시 관악구청,02-879-6504,2018-08-16
11620-00017,국지,어린이공원,서울특별시 관악구 국회단지19길 23,서울특별시 관악구 은천동 635-429,37.490053,126.9406057,1650,,미끄럼틀+조합놀이대,,,,1971-02-15,서울특별시 관악구청,02-879-6504,2018-08-16
11620-00018,서원,어린이공원,서울특별시 관악구 서원3길 10,서울특별시 관악구 서원동 409-26,37.4768152,126.9332369,2324,,그네+미끄럼틀+조합놀이대+오르는기구,,,,1971-03-26,서울특별시 관악구청,02-879-6504,2018-08-16
11620-00019,송학,어린이공원,서울특별시 관악구 청룡동 877-21,서울특별시 관악구 청룡동 877-21,37.4802719,126.9492689,1013,,조합놀이대,,,,1971-04-12,서울특별시 관악구청,02-879-6504,2018-08-16
11620-00020,백설,어린이공원,서울특별시 관악구 관악로6길 50,서울특별시 관악구 낙성대동 1606-11,37.4762359,126.9534973,1655,,그네+미끄럼틀+흔들말+조합놀이대,,,,1971-04-22,서울특별시 관악구청,02-879-6504,2018-08-16
11620-00021,신화,어린이공원,서울특별시 관악구 서림동 408-10,서울특별시 관악구 서림동 408-10,37.4766563,126.9357016,850,,그네+흔들말+조합놀이대,,,,1971-06-03,서울특별시 관악구청,02-879-6504,2018-08-16
11620-00022,미도,어린이공원,서울특별시 관악구 난향동 675-200,서울특별시 관악구 난향동 675-200,37.4628034,126.9152629,978,,그네+조합놀이대,,,,1971-06-15,서울특별시 관악구청,02-879-6504,2018-08-16
11620-00023,무궁화,어린이공원,서울특별시 관악구 난곡동 645-1외 2,서울특별시 관악구 난곡동 645-1외 2,37.4820165,126.9287267,660,,그네+조합놀이대,,,,1971-06-29,서울특별시 관악구청,02-879-6504,2018-08-16
11620-00024,신림근린공원,근린공원,서울특별시 관악구 남부순환로152길 53,서울특별시 관악구 미성동 1707-1,37.4803808,126.9171186,90960,배드민턴장,,화장실+주차장,도서관,,1971-08-06,서울특별시 관악구청,02-879-6504,2018-08-16
11620-00025,장군봉근린공원,근린공원,서울특별시 관악구 서원동 산1-1,서울특별시 관악구 서원동 산1-1,37.478631,126.9390485,128100,배드민턴장+운동장,,화장실,,,1971-08-06,서울특별시 관악구청,02-879-6504,2018-08-16
11620-00026,문성,어린이공원,서울특별시 관악구 시흥대로164길 27,서울특별시 관악구 조원동 1661-15,37.4819981,126.9028602,988,,조합놀이대,,,,1971-11-12,서울특별시 관악구청,02-879-6504,2018-08-16
11620-00027,비안,어린이공원,서울특별시 관악구 청룡동 1530-14,서울특별시 관악구 청룡동 1530-14,37.4807674,126.9401704,1661,,그네+조합놀이대+시소+흔들말,,,,1972-02-17,서울특별시 관악구청,02-879-6504,2018-08-16
11620-00043,선봉,어린이공원,서울특별시 관악구 봉천로27길 20,서울특별시 관악구 은천동 942-29,37.4851439,126.9396778,1021,,조합놀이대,,,,1977-04-12,서울특별시 관악구청,02-879-6504,2018-08-16
