"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11215-10510,성화공원,어린이공원,,서울특별시 광진구 자양4동 199-4,37.536177,127.053077,253,,조합놀이대,,,,1979-09-15,서울특별시 광진구청,02-450-7775,2018-02-23
11215-10511,양마장공원,어린이공원,,서울특별시 광진구 자양2동 689-6,37.530871,127.079924,1113,,"조합놀이대, 그네, 흔들놀이기구",,,,1982-03-09,서울특별시 광진구청,02-450-7775,2018-02-23
11215-10512,자양공원,어린이공원,,서울특별시 광진구 자양3동 792-1,37.533555,127.061065,494.8,,조합놀이대,,,,1984-05-18,서울특별시 광진구청,02-450-7775,2018-02-23
11215-10513,대림공원,어린이공원,,서울특별시 광진구 자양4동 547-66,37.533371,127.054402,227,,조합놀이대,,,,,서울특별시 광진구청,02-450-7775,2018-02-23
11215-10701,가중나무공원,어린이공원,서울특별시 광진구 동일로28길 16 (화양동),서울특별시 광진구 화양동 32-1,37.546351,127.059117,971.6,,조합놀이대,화장실,,,1969-01-21,서울특별시 광진구청,02-450-7775,2018-02-23
11215-10702,한아름공원,어린이공원,서울특별시 광진구 군자로3길 15 (화양동),서울특별시 광진구 화양동 12-55,37.544337,127.061658,936.2,,"조합놀이대, 그네 , 흔들놀이기구",화장실,,,1969-01-21,서울특별시 광진구청,02-450-7775,2018-02-23
11215-10703,해님공원,어린이공원,서울특별시 광진구 아차산로25길 27 (화양동),서울특별시 광진구 화양동 45-3,37.542693,127.058113,1002.3,,"조합놀이대, 그네 , 시소, 흔들놀이기구",화장실,,,1969-01-21,서울특별시 광진구청,02-450-7775,2018-02-23
11215-10704,화양공원,어린이공원,서울특별시 광진구 아차산로31길 14 (화양동),서울특별시 광진구 화양동 8-36,37.541525,127.060913,996.4,,조합놀이대,화장실,,,1969-01-21,서울특별시 광진구청,02-450-7775,2018-02-23
11215-10705,화양동정자마당공원,소공원,,서울특별시 광진구 화양동 110-34,37.546504,127.063046,2382,,,,,,2002-06-18,서울특별시 광진구청,02-450-7775,2018-02-23
11215-10901,남일공원,어린이공원,,서울특별시 광진구 군자동 159-1,37.555947,127.064935,238,,"조합놀이대, 그네",,,,1979-02-02,서울특별시 광진구청,02-450-7775,2018-02-23
11215-10902,군자공원,어린이공원,서울특별시 광진구 동일로52길 27 (군자동),서울특별시 광진구 군자동 115-1,37.554468,127.064050,642,,"조합놀이대, 시소",,,경로당,1993-12-17,서울특별시 광진구청,02-450-7775,2018-02-23
11215-10101,중곡공원,어린이공원,서울특별시 광진구 긴고랑로5길 10 (중곡동),서울특별시 광진구 중곡1동 232-44,37.564536,127.070370,995.7,,조합놀이대,,,경로당,1973-05-18,서울특별시 광진구청,02-450-7775,2018-02-23
11215-10102,배나무터공원,어린이공원,서울특별시 광진구 동일로76나길 20 (중곡동),서울특별시 광진구 중곡3동 695,37.568453,127.071496,971.9,,"조합놀이대, 그네",화장실,,,1973-05-18,서울특별시 광진구청,02-450-7775,2018-02-23
11215-10103,해오름공원,어린이공원,서울특별시 광진구 영화사로7길 25 (중곡동),서울특별시 광진구 중곡4동 100-16,37.556815,127.083311,840,,"조합놀이대, 그네",화장실,,,1973-05-18,서울특별시 광진구청,02-450-7775,2018-02-23
11215-10104,한마음공원,어린이공원,,서울특별시 광진구 중곡2동 51-6,37.559563,127.075261,897.8,,"조합놀이대, 그네",,,,2000-03-03,서울특별시 광진구청,02-450-7775,2018-02-23
11215-10105,긴고랑공원,어린이공원,서울특별시 광진구 긴고랑로 143 (중곡동),서울특별시 광진구 중곡4동 68-19,37.559028,127.082201,633,,"조합놀이대, 그네",화장실,,,2004-08-05,서울특별시 광진구청,02-450-7775,2018-02-23
11215-10201,능동정자마당공원,소공원,,서울특별시 광진구 능동 369-12,37.553395,127.070549,1518,,,,,,2005-05-23,서울특별시 광진구청,02-450-7775,2018-02-23
11215-10301,개나리공원,어린이공원,,서울특별시 광진구 구의3동 216-5,37.538013,127.083613,988.8,,"조합놀이대, 흔들놀이기구",,,,1969-01-21,서울특별시 광진구청,02-450-7775,2018-02-23
