"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11530-00001,미래사랑어린이공원,어린이공원,,서울특별시 구로구 신도림동 314-2호,37.510214,126.888974,5870,체력단련시설 5점,조합놀이 1기,,,,2004-02-16,서울특별시 구로구청,02-860-3084,2018-02-13
11530-00002,신도림역문화공원,문화공원,,서울특별시 구로구 신도림동 692-1호 일대,37.508432,126.888733,3322,,,,,,2006-05-04,서울특별시 구로구청,02-860-2396,2018-02-13
11530-00003,신도림어린이공원,어린이공원,,서울특별시 구로구 신도림동 646-1호,37.510678,126.888452,2292,체력단련시설 6점,모래밭 1기,,,,2000-04-07,서울특별시 구로구청,02-860-3084,2018-02-13
11530-00004,신도림소공원,소공원,,서울특별시 구로구 신도림동 400-6호,37.506707,126.877342,895,체력단련시설 4점,,,,,2010-05-13,서울특별시 구로구청,02-860-3084,2018-02-13
11530-00005,희망어린이공원,어린이공원,,서울특별시 구로구 구로동 745-74호,37.486987,126.886243,911,체력단련시설 3점,"그네 1기, 조합놀이 1기",,,,1965-07-08,서울특별시 구로구청,02-860-3084,2018-02-13
11530-00006,꿈마을어린이공원,어린이공원,,서울특별시 구로구 구로동 777-1호,37.487173,126.890259,1609,체력단련시설 6점,"모래밭 1기, 시소1기, 조합놀이 1기",,,,1970-03-18,서울특별시 구로구청,02-860-3084,2018-02-13
11530-00007,구로리어린이공원,어린이공원,,서울특별시 구로구 구로동 139-82호,37.490848,126.891578,7782,체력단련시설 9점,"그네 1기, 모래밭 1기, 시소 2기, 조합놀이 1기",,,,1977-11-19,서울특별시 구로구청,02-860-3084,2018-02-13
11530-00008,솔길어린이공원,어린이공원,,서울특별시 구로구 구로동 391-1호,37.489254,126.880616,1999,체력단련시설 5점,"그네 1기, 모래밭 1기, 조합놀이 2기",,,,1981-03-10,서울특별시 구로구청,02-860-3084,2018-02-13
11530-00009,화원어린이공원,어린이공원,,서울특별시 구로구 구로동 478-1호,37.497705,126.880291,4544,체력단련시설 5점,"모래밭 1기, 시소 1기, 조합놀이 1기",,,,1981-03-10,서울특별시 구로구청,02-860-3084,2018-02-13
11530-00010,삼각어린이공원,어린이공원,,서울특별시 구로구 구로동 47호,37.501239,126.891969,2634,체력단련시설 3점,"그네 1기, 모래밭 1기, 시소 1기, 조합놀이 1기",,,,1982-07-08,서울특별시 구로구청,02-860-3084,2018-02-13
11530-00011,구로근린공원,근린공원,,서울특별시 구로구 구로동 102호 일대,37.577985,126.950593,7901,체력단련시설 5점,조합놀이 1기,"주차장 1개소, 화장실 1개소, 음수대 1기","도서관 1개소, 문화회관 1개소",,1982-07-12,서울특별시 구로구청,02-860-3086,2018-02-13
