"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11230-00001,청량,근린공원,,서울특별시 동대문구 청량리동 산1-1,37.595591,127.044279,242864.0,,,,홍릉수목원,,1940-03-12,서울특별시 동대문구청,02-2127-4775,2018-03-31
11230-00002,우산각,어린이공원,,서울특별시 동대문구 신설동 109-4,37.573597,127.024372,5294.2,,"조합놀이대, 흔들놀이, 그네",화장실,도서관,다목적광장,1963-04-26,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00003,느티나무,어린이공원,,서울특별시 동대문구 용두동 138-61 일대,37.578974,127.032569,1719.0,,,,,,1976-03-11,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00004,안골,어린이공원,,서울특별시 동대문구 장안동 402,37.570627,127.070651,1652.3,,조합놀이대,음수전,,,1976-06-25,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00005,마로니에,어린이공원,,서울특별시 동대문구 장안동 325,37.570627,127.070651,1656.2,,조합놀이대,,,,1976-06-25,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00006,늘푸른,어린이공원,,서울특별시 동대문구 장안동 303,37.570627,127.070651,1653.1,,"조합놀이대, 그네, 흔들놀이",,,,1976-06-25,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00007,늘봄,어린이공원,,서울특별시 동대문구 장안동 343,37.570627,127.070651,1659.2,,조합놀이대,화장실,,,1976-06-25,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00008,한내,어린이공원,,서울특별시 동대문구 장안동 348,37.570627,127.070651,1617.2,,"조합놀이대, 회전놀이, 그네, 흔들놀이",음수전,,,1976-06-25,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00009,이삭,어린이공원,,서울특별시 동대문구 전농동 675,37.579262,127.055441,354.2,,"조합놀이대, 흔들놀이",,,,1978-05-12,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00010,쉼터,어린이공원,,서울특별시 동대문구 답십리동 952-5,37.564741,127.059374,1695.0,,"조합놀이대, 흔들놀이, 오르기",음수전,,,1978-06-12,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00011,장안,근린공원,,서울특별시 동대문구 장안동 300,37.570627,127.070651,14744.8,"배드민턴장, 족구장, 게이트볼장, 농구장 반코트","조합놀이대, 그네","정자, 벤치, 화장실",독서실,"바닥분수, 계류",1988-10-06,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00012,장평,근린공원,,서울특별시 동대문구 장안동 356,37.570627,127.070651,15698.4,테니스장,,"정자, 벤치, 화장실",,벽천,1990-09-06,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00013,미나리,어린이공원,,서울특별시 동대문구 장안동 449,37.570627,127.070651,1636.3,,"조합놀이대, 그네, 회전놀이, 흔들놀이",화장실,,,1991-08-30,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00014,장미,어린이공원,,서울특별시 동대문구 장안동 386,37.570627,127.070651,1652.8,,"조합놀이대, 그네, 시소, 흔들놀이",,,,1991-08-30,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00015,샛별,어린이공원,,서울특별시 동대문구 장안동 379,37.570627,127.070651,1652.9,,"조합놀이대, 그네, 흔들놀이",,,,1991-08-30,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00016,천장,어린이공원,,서울특별시 동대문구 이문동 264-181,37.598860,127.053831,1656.0,,,,,,1991-08-30,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00017,홍릉,근린공원,,서울특별시 동대문구 청량리동 산1-145,37.589274,127.043205,102920.0,배드민턴장,"조합놀이대, 모래놀이터","파고라, 전망데크, 벤치, 화장실",정보화도서관,,1994-04-26,서울특별시 동대문구청,02-2127-4775,2018-03-31
11230-00018,답십리,근린공원,,서울특별시 동대문구 답십리동 산2-9,37.573094,127.063823,160419.1,"배드민턴장, 지압보도",,"파고라, 벤치, 화장실",,,1996-06-19,서울특별시 동대문구청,02-2127-4775,2018-03-31
11230-00019,배봉산,근린공원,,서울특별시 동대문구 전농동 산32-20,37.579434,127.065849,265582.0,"배드민턴장, 지압보도","조합놀이대, 그네, 흔들놀이대, 숲속놀이터, 모래놀이터","정자, 벤치, 화장실",야외공연장,"황톳길,무장애길,야생화단지,유아숲체험장",1997-12-24,서울특별시 동대문구청,02-2127-4775,2018-03-31
11230-00020,미리내,어린이공원,,서울특별시 동대문구 장안동 93-29,37.580720,127.071679,833.0,,"조합놀이대, 흔들놀이",음수전,,,2000-07-31,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00021,이슬,어린이공원,,서울특별시 동대문구 장안동 190-62,37.567750,127.063552,336.0,,"자동차놀이대, 기차신호등",음수전,,,2000-07-31,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00022,용머리,어린이공원,,서울특별시 동대문구 용두동 696-8,37.572731,127.036548,738.5,,"조합놀이대, 흔들놀이, 회전놀이",,,,2000-07-31,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00023,장일,어린이공원,,서울특별시 동대문구 장안동 164-1,37.569871,127.065175,992.0,,"조합놀이대, 시소, 그네",,,,2000-07-31,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00024,아름,어린이공원,,서울특별시 동대문구 휘경동 43-178,37.586334,127.066514,1116.0,,조합놀이대,,,,2000-07-31,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00025,독구말,어린이공원,,서울특별시 동대문구 이문동 138-1,37.598394,127.065070,973.0,,"조합놀이대, 흔들놀이, 회전놀이",,,,2000-11-30,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00026,동산,어린이공원,,서울특별시 동대문구 답십리동 998-1,37.566904,127.057577,1359.2,,"조합놀이대, 그네, 시소, 흔들놀이",음수전,,,2002-05-11,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00027,보림,어린이공원,,서울특별시 동대문구 휘경동 179-9 일대,37.592185,127.061184,1592.0,,조합놀이대,,,,2004-06-05,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00028,용두희망,어린이공원,,서울특별시 동대문구 용두동 715일대,37.580154,127.026725,1422.0,,"조합놀이대, 그네, 회전놀이, 흔들놀이",,,,2004-11-20,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00029,방아다리,어린이공원,,서울특별시 동대문구 제기동 132-1일대,37.585062,127.034812,1537.0,,"조합놀이대, 그네",,,,2006-02-02,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00030,용두,근린공원,,서울특별시 동대문구 용두동 34-1 일대,37.573134,127.040461,17182.0,,"조합놀이대, 흔들놀이대",벤치,야외공연장,"환경자원센터,바닥분수,계류",2006-11-09,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00031,활터(가칭),근린공원,,서울특별시 동대문구 전농동 553-1 일대,37.577563,127.051427,5408.0,,"조합놀이대, 흔들놀이대","파고라, 벤치",,계류,2007-04-24,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00032,새샘(가칭),근린공원,,서울특별시 동대문구 답십리동 294-69 일대,37.569038,127.055026,9052.0,,"조합놀이대, 그네, 회전무대","파고라, 벤치",,"바닥분수, 계류",2007-11-01,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00033,장령당,소공원,,서울특별시 동대문구 답십리동 294-3 일대,37.569716,127.053609,1424.0,,,음수전,,,2007-11-01,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00034,휘봉,어린이공원,,서울특별시 동대문구 휘경동 43-275,37.586887,127.069106,1398.0,,"조합놀이대, 흔들놀이",,,,2010-05-13,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00035,꿈동산,어린이공원,,서울특별시 동대문구 답십리동 1002-1,37.569659,127.057606,1570.7,,"조합놀이대, 그네, 흔들놀이, 회전놀이",,,,2010-08-12,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00036,작은언덕,소공원,,서울특별시 동대문구 회기동 351-6,37.594094,127.052309,400.0,,,,,,2011-05-30,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00037,아름드리,어린이공원,,서울특별시 동대문구 전농동 688-7,37.579262,127.055441,2626.5,,"조합놀이대, 흔들놀이, 회전놀이, 시소",,,,2011-06-15,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00038,선농단,역사공원,,서울특별시 동대문구 제기동 274-1,37.580921,127.032082,3933.0,,,,,,2012-08-23,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00039,내길,소공원,,서울특별시 동대문구 휘경동 368-4,37.590018,127.063619,514.9,,,,,,2012-09-27,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00040,진달래,어린이공원,,서울특별시 동대문구 휘경동 49-384일대,37.582461,127.069560,2345.0,,"조합놀이대, 그네",,,,2014-12-04,서울특별시 동대문구청,02-2127-4776,2018-03-31
11230-00041,용두4구역,소공원,,서울특별시 동대문구 용두동 794-1,37.575701,127.034989,1763.2,,,,,,2015-04-16,서울특별시 동대문구청,02-2127-4776,2018-03-31
