"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11410-00001,창천문화공원,문화공원,,서울특별시 서대문구 창천동 57-18,37.556907,126.935161,2326.9,,,화장실 1개소,,,1938-11-08,서울특별시 서대문구청,02-330-1965,2018-08-01
11410-00002,궁동근린공원,근린공원,,서울특별시 서대문구 연희동 산118-1,37.569301,126.923002,126026,"체육관(실내 배드민턴장) 1개동, 배드민턴장 2개소, 체력단련시설 23기","조합놀이대 1기, 기타 4기",화장실 1개소,,,1940-03-12,서울특별시 서대문구청,02-330-1965,2018-08-01
11410-00003,명수어린이공원,어린이공원,,서울특별시 서대문구 북아현동 210-24,37.560086,126.950691,2269,체력단련시설 8기,"조합놀이대 1기, 그네 1기, 미끄럼틀 1기, 시소 1기, 기타 1기",,,,1940-03-12,서울특별시 서대문구청,02-330-1714,2018-08-01
11410-00004,대현문화공원,문화공원,,서울특별시 서대문구 대현동 146,37.557667,126.945455,3063.9,,,시계탑 1기,야외음악당 1개소,,1940-03-12,서울특별시 서대문구청,02-330-1965,2018-08-01
11410-00005,문화촌어린이공원,어린이공원,,서울특별시 서대문구 홍제동 277-82,37.595074,126.947351,1500,,"조합놀이대 1기, 그네 1기, 시소 1기, 기타 2기",,,,1965-02-03,서울특별시 서대문구청,02-330-1714,2018-08-01
11410-00006,불천어린이공원,어린이공원,,서울특별시 서대문구 홍제동 287-121,37.597209,126.948063,2006,체력단련시설 4기,"조합놀이대 1기, 그네 1기, 시소 1기",,,,1965-02-03,서울특별시 서대문구청,02-330-1714,2018-08-01
11410-00007,은가어린이공원,어린이공원,,서울특별시 서대문구 북가좌동 3-39,37.582687,126.919472,1312,체력단련시설 4기,"시소 1기, 기타 4기",,,,1965-07-08,서울특별시 서대문구청,02-330-1714,2018-08-01
11410-00008,백련근린공원,근린공원,,서울특별시 서대문구 홍은동 산11-313,37.591804,126.931679,993724,"운동장 1개소, 배드민턴장 3개소, 골프연습장 1개소, 체력단련시설 81기",조합놀이대 2기,"주차장 2개소(80대), 화장실 1개소, 발효식화장실 4기",문화회관 1개소,,1966-02-05,서울특별시 서대문구청,02-330-1965,2018-08-01
11410-00009,동구물어린이공원,어린이공원,,서울특별시 서대문구 연희동 109-2,37.571323,126.928045,275,,"그네1기, 시소 1기, 기타 1기",,,,1967-01-21,서울특별시 서대문구청,02-330-1714,2018-08-01
11410-00010,궁뜰어린이공원,어린이공원,,서울특별시 서대문구 연희동 123-5,37.568975,126.930386,983.8,체력단련시설 3기,"조합놀이대 1기, 그네 1기, 모래밭 1기, 사닥다리 1기",,,,1967-01-21,서울특별시 서대문구청,02-330-1714,2018-08-01
