"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11650-00001,반  포,근린공원,,서울특별시 서초구 반포동 114-3,37.498825,126.990494,26092.2,,,,,,1981-01-29,서울특별시 서초구청,02-2155-6863,2018-06-30
11650-00002,방아다리1,근린공원,,서울특별시 서초구 양재동 62,37.478285,127.035576,2870.8,,,,,,1988-06-15,서울특별시 서초구청,02-2155-6864,2018-06-30
11650-00003,방아다리2,근린공원,,서울특별시 서초구 양재동 72,37.478021,127.035224,2934.3,,,,,,1988-06-15,서울특별시 서초구청,02-2155-6864,2018-06-30
11650-00004,양재천,근린공원,,서울특별시 서초구 양재동 261-22,37.478025,127.035223,19258,,,,,,1988-12-20,서울특별시 서초구청,02-2155-6864,2018-06-30
11650-00005,마  방,근린공원,,서울특별시 서초구 양재동 237,37.476355,127.042221,6546.6,,,,,,1983-09-07,서울특별시 서초구청,02-2155-6864,2018-06-30
11650-00006,양  재,근린공원,,서울특별시 서초구 양재동 311,37.471543,127.042385,32523.4,,,,,,1983-09-07,서울특별시 서초구청,02-2155-6864,2018-06-30
11650-00007,용허리,근린공원,,서울특별시 서초구 서초동 1324-1,37.471543,127.042385,4641.9,,,,,,1989-11-27,서울특별시 서초구청,02-2155-6863,2018-06-30
11650-00008,명  달,근린공원,,서울특별시 서초구 서초동 1313-17,37.499011,127.021114,5466.4,,,,,,1989-11-27,서울특별시 서초구청,02-2155-6863,2018-06-30
11650-00009,사평리,근린공원,,서울특별시 서초구 잠원동 51-3,37.519855,127.014739,1913.7,,,,,,1989-11-27,서울특별시 서초구청,02-2155-6863,2018-06-30
11650-00010,잠  원,근린공원,,서울특별시 서초구 잠원동 62-5,37.512747,127.010099,2373.5,,,,,,1989-11-27,서울특별시 서초구청,02-2155-6863,2018-06-30
11650-00011,신  동,근린공원,,서울특별시 서초구 잠원동 58-14,37.514313,127.014521,6648.4,,,,,,1979-02-08,서울특별시 서초구청,02-2155-6863,2018-06-30
11650-00012,고인돌,근린공원,,서울특별시 서초구 양재동 390,37.473168,127.046719,4579,,,,,,,서울특별시 서초구청,02-2155-6864,2018-06-30
11650-00013,바우뫼,근린공원,,서울특별시 서초구 양재동 105,37.474627,127.034344,16386.1,,,,,,1983-09-07,서울특별시 서초구청,02-2155-6864,2018-06-30
11650-00014,서리풀,근린공원,,서울특별시 서초구 서초동 산 165,37.472561,126.985735,548520.8,,,,,,1971-08-06,서울특별시 서초구청,02-2155-6863,2018-06-30
11650-00015,서래골,근린공원,,서울특별시 서초구 반포동 63-2,37.501581,127.002352,4690.8,,,,,,1995-05-29,서울특별시 서초구청,02-2155-6863,2018-06-30
