"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11200-00001,응봉,근린공원,서울특별시 성동구 독서당로63길 85(금호동1가),"서울특별시 성동구 응봉동, 행당2동, 금호1,2,3,4가동, 옥수동",37.547639,127.029729,417284.88,"농구장 1개소, 배드민턴장 13, 게이트볼장 1개소. 체력단련시설 25개소 189기 등","조합놀이대 3기, 모래밭 1기, 그네 2기, 시소 1기",화장실 5개소,독서실 1개소,없음,1977-07-14,서울특별시 성동구,02-2886-5656,2018-08-13
11200-00002,달맞이,근린공원,서울특별시 성동구 독서당로40길 25,서울특별시 성동구 옥수동 산1-1,37.544432,127.020664,63411.43,"배드민턴장 2개소, 체력단련시설 6개소 36개","조합놀이대 1기, 시소 2개",화장실 1개소,없음,없음,1940-03-12,서울특별시 성동구,02-2886-5656,2018-08-13
11200-00003,무학봉,근린공원,서울특별시 성동구 난계로 114-31,서울특별시 성동구 하왕십리동 890-243,37.562591,127.026017,28843,"배드민턴장 1개소, 농구장 1개소, 체력단련시설 3개소 29개",없음,화장실 1개소,없음,없음,1977-07-14,서울특별시 성동구,02-2886-5656,2018-08-13
11200-00004,금호,근린공원,서울특별시 성동구 금호산길 5-15(금호동3가),서울특별시 성동구 금호3가동 1266,37.549603,127.019097,13467.8,"다목적체육관 1동, 체력단련시설 1개소 4개",없음,없음,문화회관 1개소,없음,1963-04-26,서울특별시 성동구,02-2886-5656,2018-08-13
11200-00005,용답휴식,근린공원,서울특별시 성동구 천호대로 232,서울특별시 성동구 용답동 128-3,37.569787,127.047632,6046.9,"배드민턴장 1개소, 농구정 1개소, 체력단련시설 1개소 7개",없음,화장실 1개소,없음,없음,1963-04-26,서울특별시 성동구,02-2886-5656,2018-08-13
11200-00006,성수,근린공원,서울특별시 성동구 연무장3길 14,서울특별시 성동구 성수2가3동 302-25,37.544838,127.052278,5197.7,"농구장 1개소, 체력단련시설 1개소 5개",없음,화장실 1개소,없음,없음,1997-03-21,서울특별시 성동구,02-2886-5656,2018-08-13
11200-00007,성원,어린이공원,서울특별시 성동구 상원10길 21,서울특별시 성동구 성수1가2동 13-21,37.5501646,127.050059,982.5,체력단련시설 1개소 4개,"조합놀이대 1개소, 모래밭 1개소",없음,없음,없음,1961-04-16,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00008,동마장,어린이공원,서울특별시 성동구 마장로42길 13(마장동),서울특별시 성동구 마장동 780-1,37.566069,127.045802,1090.9,체력단련시설 1개소 3개,"조합놀이대 1개소, 모래밭 1개소",화장실 1개소,없음,없음,1977-02-04,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00009,응봉새말,어린이공원,서울특별시 성동구 응봉동 228-23,서울특별시 성동구 응봉동 228-23,37.551699,127.035857,311,없음,"조합놀이대 1개소, 모래밭 1개소",없음,없음,없음,1979-05-11,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00010,사근,어린이공원,서울특별시 성동구 사근동 291-10,서울특별시 성동구 사근동 291-10,37.563417,127.047606,496,체력단련시설 1개소 3개,"조합놀이대 1개소, 그네 1개",없음,없음,없음,1979-08-20,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00011,마장,어린이공원,서울특별시 성동구 마조로 51-2,서울특별시 성동구 마장동 399-102 일대,37.562115,127.041306,911,체력단련시설 1개소 4개,"조합놀이대 1개소, 그네 1개, 시소 1개",없음,없음,없음,1977-04-28,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00012,성삼,어린이공원,서울특별시 성동구 성수이로18길 31,서울특별시 성동구 성수2가3동 273-11,37.542056,127.060193,1812.2,"배드민터장 1개소, 체력단련시설 1개소 6개",없음,화장실 1개소,없음,없음,1961-04-16,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00013,은행나무터,어린이공원,서울특별시 성동구 연무장길 37-29,서울특별시 성동구 성수2가3동 316-9,37.543715,127.053486,675.4,없음,"조합놀이대 1개소, 그네 1개",없음,없음,없음,1961-04-16,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00014,아남,어린이공원,서울특별시 성동구 아차산로15길 52,서울특별시 성동구 성수2가3동 280-12,37.546842,127.064735,984.1,"족구장 1개소, 농구장 1개소, 체력단련시설 1개소 5개",없음,없음,없음,없음,1985-02-14,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00015,열림,어린이공원,서울특별시 성동구 성수이로12길 14,서울특별시 성동구 성수2가1동 327-3,37.539484,127.056782,198,없음,조합놀이대 1개소,없음,없음,없음,1991-10-05,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00016,응봉개나리,어린이공원,서울특별시 성동구 독서당로62가길 62,서울특별시 성동구 응봉동 270,37.5497323,127.031882,462,없음,"조합놀이대 1개소, 그네 1개소,",없음,없음,없음,1947-01-09,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00017,서마장,어린이공원,서울특별시 성동구 청계천로10가길 102,서울특별시 성동구 마장동 450-67,37.571635,127.037325,350.3,없음,조합놀이대 1개소,없음,없음,없음,1975-11-15,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00018,송정,어린이공원,서울특별시 성동구 동일로 263-49,서울특별시 성동구 송정동 90-4,37.5551023,127.070506,236.4,없음,"조합놀이대 1개소, 그네 1개",없음,없음,없음,2001-11-23,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00019,미소,어린이공원,서울특별시 성동구 난계로 95,서울특별시 성동구 하왕십리동 1055,37.560093,127.023335,3411,체력단련시설 1개소 6개,"놀이대 2개소, 모래밭 1개소",없음,없음,없음,1974-03-29,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00020,응삼,어린이공원,서울특별시 성동구 고산자로 160,서울특별시 성동구 응봉동 15-1,37.554594,127.035142,1646.7,체력단련시설 1개소 2개,"조합놀이대 1개소, 그네 1개소, 미끄럼틀 1개소",없음,없음,없음,1975-04-25,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00021,상원,어린이공원,서울특별시 성동구 상원길 39,서울특별시 성동구 성수1가2동 715-1,37.547576,127.047244,2636,체력단련시설 1개소 6개,"조합놀이대 1개소, 그네 1개소",없음,없음,없음,2001-04-12,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00022,보람,어린이공원,서울특별시 성동구 마장로 255,서울특별시 성동구 마장동 827,37.566092,127.038748,823.3,없음,"조합놀이대 1개소, 시소 1개소",없음,없음,없음,2000-03-18,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00023,무지개,어린이공원,서울특별시 성동구 성수이로7길 27,서울특별시 성동구 성수2가1동 844,37.541792,127.052786,2143,없음,조합놀이대 2개소,없음,없음,없음,2005-05-12,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00032,도장골,소공원,서울특별시 성동구 행당로 82,서울특별시 성동구 행당2동 346-2,37.554681,127.027097,678.3,없음,없음,없음,없음,없음,2009-05-28,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00024,도선,어린이공원,서울특별시 성동구 무학로8길 8,서울특별시 성동구 홍익동 369,37.565495,127.031523,2332.5,체력단련시설 1개소 7개,조합놀이대 1개소,없음,없음,없음,2005-03-11,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00025,살구골,어린이공원,서울특별시 성동구 고산자로 177,서울특별시 성동구 행당동 376-3,37.555183,127.031784,1573.9,체력단련시설 1개소 3개,,없음,없음,없음,2004-11-10,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00026,금동,어린이공원,서울특별시 성동구 무수막길 16,서울특별시 성동구 금호2가 1218,37.549691,127.025585,2591,체력단련시설 1개소 6개,"조합놀이대 1개소, 모래밭 1개소, 미끄럼틀 1개, 시소 1개",없음,없음,없음,2006-07-20,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00029,논골새싹,어린이공원,서울특별시 성동구 난계로 56,서울특별시 성동구 행당2동 347-2,37.556925,127.025005,2837.1,"체력단련시설 1개소 7개, 농구장 1개소","조합놀이대 1개소, 그네 1개소",화장실 1개소,없음,없음,2010-02-20,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00030,꽃재,어린이공원,서울특별시 성동구 마장로 161,서울특별시 성동구 하왕십리 560,37.567471,127.028316,2810,"운동장 1개소, 체력단련시설 1개소 4개","조합놀이대 1개, 오르기놀이대 1개",없음,없음,없음,2007-08-13,서울특별시 성동구,02-2286-5655,2018-08-13
11200-00031,전관원,어린이공원,서울특별시 성동구 살곶이길 327,서울특별시 성동구 행당동 90-2일대,37.554042,127.039866,4760,체력단련시설 1개소 4개,"시소 1개, 기타 4개",없음,없음,없음,2008-07-31,서울특별시 성동구,02-2286-5655,2018-08-13
11200-00033,동부,소공원,서울특별시 성동구 왕십리로6길 30,서울특별시 성동구 성수1가 656-1735,37.544959,127.0475848,251,체력단련시설 1개소 5개,없음,없음,없음,없음,2009-05-28,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00034,청송,소공원,서울특별시 성동구 아차산로9길 20,서울특별시 성동구 성수2가 277-23,37.545471,127.058543,798.7,체력단련시설 1개소 6개,없음,없음,없음,없음,2009-05-28,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00035,향림,소공원,서울특별시 성동구 성수일로10길 23,서울특별시 성동구 성수2가 289-28,37.546732,127.053464,987.8,체력단련시설 1개소 5개,없음,없음,없음,없음,2009-05-28,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00036,장미,소공원,서울특별시 성동구 동일로 227,서울특별시 성동구 송정동 107,37.552217,127.068798,485.4,체력단련시설 1개소 5개,없음,없음,없음,없음,2006-05-18,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00037,금옥,소공원,서울특별시 성동구 금호로 117,서울특별시 성동구 금호2가 1213,37.553451,127.021196,1230,체력단련시설 1개소 5개,없음,없음,없음,없음,2006-07-20,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00038,금남,소공원,서울특별시 성동구 금호산8길 13,서울특별시 성동구 금호3가 701,37.549256,127.0219381,834,체력단련시설 1개소 4개,없음,없음,없음,없음,2006-11-30,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00039,옥정,소공원,서울특별시 성동구 매봉길 21,서울특별시 성동구 옥수동 562-1,37.545636,127.015122,711.76,체력단련시설 1개소 4개,없음,없음,없음,없음,2006-06-29,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00040,매봉,소공원,서울특별시 성동구 매봉길 50,서울특별시 성동구 옥수동 561-1,37.545145,127.011941,2006.7,체력단련시설 1개소 4개,없음,없음,없음,없음,2006-06-29,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00041,왕십리 KCC스위첸,소공원,서울특별시 성동구 무학봉길 35,서울특별시 성동구 하왕십리동 1002-1,37.560324,127.025993,1514.1,체력단련시설 2개소 5개,없음,없음,없음,없음,2010-07-15,서울특별시 성동구,02-2286-5655,2018-08-13
11200-00042,뉴타운2구역,기타,서울특별시 성동구 마장로 137,서울특별시 성동구 상왕십리 122-31,37.568627,127.0237555,2517,없음,없음,없음,없음,없음,2005-08-04,서울특별시 성동구,02-2886-5656,2018-08-13
11200-00043,뉴타운1구역,기타,서울특별시 성동구 마장로 137,서울특별시 성동구 상왕십리 122-31,37.568995,127.025974,2452.4,없음,없음,없음,없음,없음,2006-03-16,서울특별시 성동구,02-2886-5656,2018-08-13
11200-00028,청계꿈나무,어린이공원,서울특별시 성동구 마장로 161,서울특별시 성동구 상왕십리 70-2,37.569235,127.024721,1705,없음,"조합놀이대 1개소, 그네 1개",없음,없음,없음,2007-10-02,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00027,푸른,어린이공원,서울특별시 성동구 금호로1길 38,서울특별시 성동구 금호4가 442-4,37.547043,127.023446,1681.8,체력단련시설 1개소 4개,"조합놀이대 1개소, 그네 1개소",없음,없음,없음,2004-07-15,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00044,견우,어린이공원,서울특별시 성동구 왕십리로 410,서울특별시 성동구 상왕십리 315일대,37.566553,127.025332,1500,체력단련시설 1개소 3개,"조합놀이대 1개소, 그네 1개소 , 흔들놀이기구 2개 등",없음,없음,없음,2011-03-17,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00045,직녀,어린이공원,서울특별시 성동구 마장로 164,서울특별시 성동구 하왕십리 710일대,37.566479,127.027807,1500,체력단련시설 1개소 4개,"조합놀이대 1개소, 그네 1개소 , 흔들놀이기구 2개 등",없음,없음,없음,2011-03-17,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00046,트리마제,소공원,서울특별시 성동구 왕십리로 16,서울특별시 성동구 성수동1가 718-1,37.539522,127.043958,2762.8,없음,없음,없음,없음,없음,2012-08-02,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00047,하왕1-5구역,소공원,서울특별시 성동구 무학봉길 1,서울특별시 성동구 하왕십리동 1000-594일대,37.559377,127.024673,1451.1,체력단련시설 1개소,없음,없음,없음,없음,2007-05-17,서울특별시 성동구,02-2886-5655,2018-08-13
11200-00048,행당4구역,소공원,서울특별시 성동구 행당로6길 74,서울특별시 성동구 행당동 323-24일대,37.555861,127.031991,1235,없음,없음,없음,없음,없음,2003-12-15,서울특별시 성동구,02-2886-5655,2018-08-13
