"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11290-00032,종암5어린이2,어린이공원,서울특별시 성북구 종암동 134-8,,37.599625,127.038799,950,체력단련시설5,"그네1, 모래밭1, 조합놀이대1","정자2, 장의자1",,,2003-03-08,서울특별시 성북구청,02-2241-3682,2018-03-06
11290-00033,길음7-1,소공원,서울특별시 성북구 길음1동 1285-9,,37.609589,127.018679,1244,체력단련시설2,,"정자1, 장의자9",,,2005-05-12,서울특별시 성북구청,02-2241-3682,2018-03-06
11290-00034,길음7-2,소공원,서울특별시 성북구 길음1동 1285-10,,37.609589,127.018679,383,,,,,,2005-05-12,서울특별시 성북구청,02-2241-3682,2018-03-06
11290-00035,신월곡2,소공원,서울특별시 성북구 하월곡동 230-1,,37.604178,127.041001,481,체력단련시설2,,,,,2007-06-21,서울특별시 성북구청,02-2241-3682,2018-03-06
11290-00036,길음8-1,소공원,서울특별시 성북구 길음1동 1284-13,,37.607521,127.018009,1173,,,"정자1, 장의자2",,,2005-05-12,서울특별시 성북구청,02-2241-3682,2018-03-06
11290-00037,길음8-2,소공원,서울특별시 성북구 길음1동 1284-6,,37.607521,127.018009,287,,,"정자1, 장의자2",,,2005-05-12,서울특별시 성북구청,02-2241-3682,2018-03-06
11290-00038,삼선1,소공원,서울특별시 성북구 삼선동3가 116-1,,37.586644,127.012756,893,,,"정자1, 장의자6",,,2006-05-18,서울특별시 성북구청,02-2241-3682,2018-03-06
11290-00039,돈암5,소공원,서울특별시 성북구 돈암동 643-2,,37.586644,127.012756,1069,,,장의자5,,,2007-06-07,서울특별시 성북구청,02-2241-3682,2018-03-06
11290-00040,정릉10,소공원,서울특별시 성북구 정릉동 1039,,37.586644,127.012756,633,체력단련시설4,,"정자1, 장의자3",,,2007-05-17,서울특별시 성북구청,02-2241-3682,2018-03-06
11290-00001,성북,근린공원,서울특별시 성북구 돈암동 606,,37.600528,127.023636,139548,"배드민턴장1, 체력단련시설9",,"정자3, 장의자43",문화회관1,,1940-03-12,서울특별시 성북구청,02-2241-3682,2018-03-06
11290-00002,오동,근린공원,서울특별시 성북구 하월곡동 산2-1,,37.610608,127.040398,183461,"배드민턴장6, 체력단련시설303",,"정자3, 노인정1, 장의자173",도서관1,,1966-02-05,서울특별시 성북구청,02-2241-3682,2018-03-06
11290-00003,개운산,근린공원,서울특별시 성북구 돈암동 산6-1,,37.597612,127.025451,322174,체력단련시설6,,"정자4, 야외탁자5, 장의자71",,,1940-03-12,서울특별시 성북구청,02-2241-3682,2018-03-06
