"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11710-00001,천마,근린공원,,서울특별시 송파구 마천동 산1-1,37.500625,127.157122,182420,,,,,,1971-08-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00002,평화,소공원,,서울특별시 송파구 방이동 42-2,37.516287,127.112042,1651.3,,,,,,1974-03-23,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00003,송파나루,근린공원,,서울특별시 송파구 신천동 32,37.511008,127.104638,285757.6,,,,,,1974-09-24,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00004,잠실,근린공원,,서울특별시 송파구 잠실동 230,37.506087,127.083567,6613.3,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00005,삼전,근린공원,,서울특별시 송파구 삼전동 62-1,37.502350,127.092574,6607.6,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00006,송파,근린공원,,서울특별시 송파구 송파동 113,37.506367,127.109975,6621.2,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00007,방이,근린공원,,서울특별시 송파구 방이동 52,37.514246,127.114014,6930.1,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00008,태양,근린공원,,서울특별시 송파구 풍납동 389-2,37.525396,127.115314,6611.6,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00009,한양,근린공원,,서울특별시 송파구 송파동 152,37.503984,127.115464,4842.4,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00010,벚꽃,근린공원,,서울특별시 송파구 잠실동 27-7,37.515323,127.094896,6637.9,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00011,새마을,어린이공원,,서울특별시 송파구 잠실본동 209-4,37.508222,127.086662,1667.3,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00012,뽕밭,어린이공원,,서울특별시 송파구 잠실본동 220,37.507800,127.081083,1125.6,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00013,삼밭나루,어린이공원,,서울특별시 송파구 삼전동 95,37.505114,127.091719,1434.1,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00014,삼학사,어린이공원,,서울특별시 송파구 삼전동 110-7,37.506128,127.095495,1648,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00015,진달래,어린이공원,,서울특별시 송파구 잠실본동 338,37.503688,127.086326,1738.1,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00016,쌀섬,어린이공원,,서울특별시 송파구 잠실본동 319,37.503993,127.082433,1646.7,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00017,부렴,어린이공원,,서울특별시 송파구 잠실본동 296,37.505639,127.079298,1659.8,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00018,석촌,어린이공원,,서울특별시 송파구 석촌동 27,37.505925,127.099811,1638.4,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00019,오봉산,어린이공원,,서울특별시 송파구 석촌동 162,37.506193,127.102470,1508,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00020,돌마리,어린이공원,,서울특별시 송파구 석촌동 258,37.500530,127.103412,1715.6,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00021,아랑,어린이공원,,서울특별시 송파구 송파동 44,37.508105,127.109372,1575.3,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00022,동호수,어린이공원,,서울특별시 송파구 송파동 34,37.509742,127.107046,1469.7,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00023,방잇골,어린이공원,,서울특별시 송파구 방이동 70-1,37.513414,127.110353,1629.6,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00024,옛동산,어린이공원,,서울특별시 송파구 방이동 121,37.509539,127.115864,1266.3,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00025,아름(삼전도비),어린이공원,,서울특별시 송파구 석촌동 289-3,37.503320,127.107059,2338.7,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00026,나루터,어린이공원,,서울특별시 송파구 삼전동 37,37.501556,127.086722,1472.9,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00027,삼전,어린이공원,,서울특별시 송파구 삼전동 51,37.501784,127.090236,1644.7,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00028,삼밭,어린이공원,,서울특별시 송파구 삼전동 70,37.499488,127.092859,1646.1,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00029,몽촌,어린이공원,,서울특별시 송파구 방이동 150,37.512915,127.114908,1560.8,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00030,어사,어린이공원,,서울특별시 송파구 송파동 129,37.507299,127.113007,1653.4,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00031,새싹,어린이공원,,서울특별시 송파구 송파동 107,37.504941,127.112818,1806.4,,,,,,1974-12-06,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00032,아랫바람,어린이공원,,서울특별시 송파구 풍납동 306-9,37.532308,127.112224,198,,,,,,1975-10-30,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00033,동산,근린공원,,서울특별시 송파구 송파동 120,37.506273,127.114502,5660.8,,,,,,1976-10-23,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00034,오금,근린공원,,서울특별시 송파구 오금동 51,37.501066,127.131279,219167.4,,,,,,1977-07-09,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00035,풍납,근린공원,,서울특별시 송파구 풍납동 70-32,37.538311,127.121734,24500,,,,,,1977-07-09,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00036,장지,근린공원,,서울특별시 송파구 장지동 산11,37.489853,127.136501,133531.12,,,,,,1977-07-09,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00037,초록,어린이공원,,서울특별시 송파구 마천동 360,37.495634,127.156945,343.9,,,,,,1977-08-22,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00038,남천,어린이공원,,서울특별시 송파구 마천동 344,37.501292,127.152726,282.9,,,,,,1977-08-22,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00039,잔버들,어린이공원,,서울특별시 송파구 거여동 135-46,37.497368,127.144284,303,,,,,,1977-12-28,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00040,거여,어린이공원,,서울특별시 송파구 거여동 593-1,37.492620,127.142743,756.6,,,,,,1981-01-21,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00041,임금샘,어린이공원,,서울특별시 송파구 방이동 189,37.510987,127.125057,1500.3,,,,,,1981-01-21,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00042,배밭,어린이공원,,서울특별시 송파구 송파동 178,37.501554,127.115370,1475.8,,,,,,1981-01-21,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00043,가야금,어린이공원,,서울특별시 송파구 오금동 21,37.508625,127.129297,1500,,,,,,1981-01-21,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00044,방죽,어린이공원,,서울특별시 송파구 가락본동 28,37.500683,127.122831,1492.1,,,,,,1981-01-21,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00045,백토,근린공원,,서울특별시 송파구 오금동 6,37.508179,127.132593,10024.1,,,,,,1981-09-26,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00046,두댐이,근린공원,,서울특별시 송파구 문정동 2,37.490228,127.132459,24015.9,,,,,,1981-09-26,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00047,마천,근린공원,,서울특별시 송파구 마천동 11,37.501630,127.145827,10962.5,,,,,,1981-09-26,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00048,가락,근린공원,,서울특별시 송파구 가락동 37,37.498044,127.124487,27648.2,,,,,,1981-09-26,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00049,가락,근린공원,,서울특별시 송파구 가락동 37,37.498044,127.124487,27648.2,,,,,,1981-09-26,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00050,웃말,근린공원,,서울특별시 송파구 가락동 21,37.502339,127.122960,11098.2,,,,,,1981-09-26,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00051,개롱,근린공원,,서울특별시 송파구 가락동 195,37.493704,127.130777,21544.4,,,,,,1981-09-26,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00052,연화,근린공원,,서울특별시 송파구 문정동 92,37.485182,127.128884,14318.2,,,,,,1981-09-26,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00053,송이,근린공원,,서울특별시 송파구 송파동 169,37.501169,127.118909,11193.9,,,,,,1981-09-26,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00054,누에머리,근린공원,,서울특별시 송파구 오금동 110,37.503171,127.142523,18607.5,,,,,,1981-09-26,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00055,샛별,어린이공원,,서울특별시 송파구 가락본동 51,37.497965,127.121742,1500,,,,,,1981-09-26,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00056,오동나무,어린이공원,,서울특별시 송파구 오금동 84,37.506236,127.133919,1500,,,,,,1981-09-26,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00057,아랫말,어린이공원,,서울특별시 송파구 오금동 123-2,37.504716,127.137402,1500,,,,,,1981-09-26,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00058,안산골,어린이공원,,서울특별시 송파구 가락동 152-3,37.497624,127.126705,1500.5,,,,,,1981-09-26,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00059,벌말,어린이공원,,서울특별시 송파구 오금동 132,37.501780,127.140019,1502.1,,,,,,1981-09-26,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00060,한샘,어린이공원,,서울특별시 송파구 문정동 66,37.484758,127.125005,1688,,,,,,1981-09-26,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00061,큰바위,어린이공원,,서울특별시 송파구 거여동 7,37.498055,127.142561,1508.1,,,,,,1981-09-26,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00062,개미,어린이공원,,서울특별시 송파구 거여동 29,37.492303,127.146558,1500.4,,,,,,1981-09-26,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00063,반딧불,어린이공원,,서울특별시 송파구 문정동 47,37.487933,127.124095,1489.2,,,,,,1981-09-26,서울특별시 송파구청,02-2147-3380,2018-08-17
11710-00064,개나리,어린이공원,,서울특별시 송파구 문정동 81,37.482377,127.128498,1312.2,,,,,,1981-09-26,서울특별시 송파구청,02-2147-3380,2018-08-17
