"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11470-00025,마장,어린이공원,,서울특별시 양천구 목4동 791-22,37.533508,126.864686,785.4,야외헬스형운동기구 5개,"조합놀이대, 그네",,,,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3586,2018-07-31
11470-00026,정목,어린이공원,,서울특별시 양천구 목4동 767-1,37.536923,126.868305,987.3,야외헬스형운동기구 6개,"조합놀이대, 그네, 흔들놀이",,,,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3586,2018-07-31
11470-00027,나말,어린이공원,,서울특별시 양천구 목4동 724-1,37.538689,126.864464,1002.2,야외헬스형운동기구 6개,조합놀이대,,,,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3586,2018-07-31
11470-00028,영도,어린이공원,,서울특별시 양천구 목5동 903-2,37.535067,126.872941,2985.4,야외헬스형운동기구 5개,"조합놀이대, 그네, 시소",,,,1987-11-01,서울특별시 양천구청 공원녹지과,02-2620-3586,2018-07-31
11470-00029,진달래,어린이공원,,서울특별시 양천구 목5동 904-1,37.531972,126.870154,6517,야외헬스형운동기구 8개,"조합놀이대 2, 그네2, 흔들놀이",,,,1987-11-01,서울특별시 양천구청 공원녹지과,02-2620-3586,2018-07-31
11470-00030,은하수,어린이공원,,서울특별시 양천구 목5동 913-1,37.533387,126.878583,3815.8,야외헬스형운동기구 1개,"조합놀이대, 그네",,,,1987-11-01,서울특별시 양천구청 공원녹지과,02-2620-3586,2018-07-31
11470-00031,장미,어린이공원,,서울특별시 양천구 목5동 912-1,37.534427,126.882744,3963.8,야외헬스형운동기구 7개,"조합놀이대, 그네, 시소, 흔들놀이",,,,1987-11-01,서울특별시 양천구청 공원녹지과,02-2620-3586,2018-07-31
11470-00032,햇님,어린이공원,,서울특별시 양천구 목5동 901-2,37.539933,126.879386,2299.5,야외헬스형운동기구 5개,"조합놀이대, 그네",,,,1987-11-01,서울특별시 양천구청 공원녹지과,02-2620-3586,2018-07-31
11470-00033,별님,어린이공원,,서울특별시 양천구 목5동 902-2,37.537814,126.875231,4211.4,야외헬스형운동기구 7개,"조합놀이대, 그네",,,,1987-11-01,서울특별시 양천구청 공원녹지과,02-2620-3586,2018-07-31
11470-00034,달님,어린이공원,,서울특별시 양천구 목5동 911-5,37.535171,126.885482,3659.2,야외헬스형운동기구 3개,"조합놀이대, 그네",,,,1987-11-01,서울특별시 양천구청 공원녹지과,02-2620-3586,2018-07-31
11470-00035,신월,어린이공원,,서울특별시 양천구 신월1동 240,37.527015,126.838167,1148.2,야외헬스형운동기구 4개,"조합놀이대, 시소, 흔들놀이2, 회전놀이",,,,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3575,2018-07-31
11470-00036,곰달래,어린이공원,,서울특별시 양천구 신월1동 234-11외 4,37.528711,126.837905,945.1,,,,,,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3575,2018-07-31
11470-00037,반곡,어린이공원,,서울특별시 양천구 신월1동 230-1,37.529181,126.835481,946.7,,,,,,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3575,2018-07-31
11470-00038,돌다리,어린이공원,,서울특별시 양천구 신월1동 119,37.531941,126.835812,925.1,야외헬스형운동기구 3개,"조합놀이대, 그네, 흔들놀이",,,,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3575,2018-07-31
11470-00039,신대,어린이공원,,서울특별시 양천구 신월1동 100-1,37.534828,126.832752,1003.1,야외헬스형운동기구 6개,"조합놀이대, 그네",,,,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3575,2018-07-31
11470-00040,신곡,어린이공원,,서울특별시 양천구 신월2동 459,37.526252,126.845112,990.4,야외헬스형운동기구 4개,"조합놀이대, 그네",,,,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3575,2018-07-31
11470-00041,신장,어린이공원,,서울특별시 양천구 신월2동 486,37.524231,126.842737,983.8,야외헬스형운동기구 3개,"조합놀이대, 그네, 흔들놀이",,,,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3575,2018-07-31
11470-00042,꽃동산,어린이공원,,서울특별시 양천구 신월2동 471,37.526443,126.848436,1002.9,야외헬스형운동기구 4개,"조합놀이대, 그네, 흔들놀이",,,,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3575,2018-07-31
11470-00043,경인,어린이공원,,서울특별시 양천구 신월3동 196,37.532106,126.828788,1161.6,야외헬스형운동기구 7개,조합놀이대,,,,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3575,2018-07-31
11470-00044,남부,어린이공원,,서울특별시 양천구 신월3동 156,37.534821,126.826044,995.9,야외헬스형운동기구 5개,"조합놀이대, 그네",,,,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3575,2018-07-31
11470-00024,모세미,어린이공원,,서울특별시 양천구 목4동 772-1,37.535262,126.868644,988.9,야외헬스형운동기구 3개,조합놀이대,,,,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3586,2018-07-31
