"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11560-00024,영일어린이공원,어린이공원,서울특별시 영등포구 영등포본동 647-3,서울특별시 영등포구 영등포본동 647-3,37.510097,126.903895,5413,헬스형 운동기구 등,조합놀이대,"파고라, 음수대 등",,,1999-02-03,서울특별시 영등포구청,02-2670-3757,2018-02-20
11560-00036,이음소공원,소공원,서울특별시 영등포구 당산동4가 1-4,서울특별시 영등포구 당산동4가 1-4,37.527656,126.902501,732,헬스형 운동기구 등,,평의자 등,,,2007-08-02,서울특별시 영등포구청,02-2670-3759,2018-02-20
11560-00014,고추말어린이공원,어린이공원,서울특별시 영등포구 도림동 23-1,서울특별시 영등포구 도림동 23-1,37.511577,126.907115,3071,헬스형 운동기구 등,조합놀이대,"파고라, 음수대 등",,,1963-04-26,서울특별시 영등포구청,02-2670-3757,2018-02-20
11560-00035,새말소공원,소공원,서울특별시 영등포구 당산동4가 80-6,서울특별시 영등포구 당산동4가 80-6,37.528901,126.900527,1642,헬스형 운동기구 등,,평의자 등,,,2011-02-10,서울특별시 영등포구청,02-2670-3759,2018-02-20
11560-00034,도리미 소공원,소공원,서울특별시 영등포구 도림로 112나길 2,서울특별시 영등포구 도림로 112나길 2,37.509501,126.903125,1859,헬스형 운동기구 등,,"파고라, 등의자 등",,,2007-07-05,서울특별시 영등포구청,02-2670-3759,2018-02-20
11560-00033,파밀리에 소공원,소공원,서울특별시 영등포구 대림1동 1124-3,서울특별시 영등포구 대림1동 1124-3,37.493251,126.904792,395,,,평의자 등,,,2007-11-08,서울특별시 영등포구청,02-2670-3759,2018-02-20
11560-00032,당산역 소공원,소공원,서울특별시 영등포구 당산2동 9-29,서울특별시 영등포구 당산2동 9-29,37.533517,126.900642,417,,,"파고라, 평의자 등",,,2009-09-10,서울특별시 영등포구청,02-2670-3759,2018-02-20
11560-00031,신풍역 소공원,소공원,서울특별시 영등포구 신길6동 3599,서울특별시 영등포구 신길6동 3599,37.500278,126.909424,805,헬스형 운동기구 등,,"파고라, 평의자 등",,,2010-05-13,서울특별시 영등포구청,02-2670-3759,2018-02-20
11560-00030,꽃담 소공원,소공원,서울특별시 영등포구 당산2동 4-23,서울특별시 영등포구 당산2동 4-23,37.531174,126.900161,2582,,,"파고라, 평의자 등",,,2010-05-13,서울특별시 영등포구청,02-2670-3759,2018-02-20
11560-00029,인스빌2 소공원,소공원,서울특별시 영등포구 문래동 68-1,서울특별시 영등포구 문래동 68-1,37.513184,126.890275,1007,,,"파고라, 평의자 등",,,2010-05-13,서울특별시 영등포구청,02-2670-3759,2018-02-20
11560-00028,인스빌1 소공원,소공원,서울특별시 영등포구 문래동 67-1,서울특별시 영등포구 문래동 67-1,37.514461,126.888327,1194,,,평의자 등,,,2010-05-13,서울특별시 영등포구청,02-2670-3759,2018-02-20
11560-00027,문래소공원,소공원,서울특별시 영등포구 문래로8길 5,서울특별시 영등포구 문래로8길 5,37.519765,126.886880,1954,헬스형 운동기구 등,,"파고라, 정자 등",,,2009-03-26,서울특별시 영등포구청,02-2670-3759,2018-02-20
11560-00026,꿈에그린어린이공원,어린이공원,서울특별시 영등포구 신길5동 4937-1,서울특별시 영등포구 신길5동 4937-1,37.503103,126.908722,1619,헬스형 운동기구 등,조합놀이대,"파고라, 평의자 등",,,,서울특별시 영등포구청,02-2670-3757,2018-02-20
11560-00025,중마루근린공원,근린공원,서울특별시 영등포구 영등포동2가 222,서울특별시 영등포구 영등포동2가 222,37.519757,126.911347,6456,족구장,,"음수대, 평의자 등",,,1998-10-15,서울특별시 영등포구청,02-2670-3716,2018-02-20
11560-00008,평화어린이공원,어린이공원,서울특별시 영등포구 63로 45,서울특별시 영등포구 여의동 50-2,37.521110,126.938292,4595,헬스형 운동기구 등,조합놀이대,"파고라, 평의자 등",,,1940-03-12,서울특별시 영등포구청,02-2670-3757,2018-02-20
11560-00007,중앙어린이공원,어린이공원,서울특별시 영등포구 영등포로35길 13,서울특별시 영등포구 영등포동 53-1,37.521363,126.905494,3671,헬스형 운동기구 등,조합놀이대,"파고라, 평의자 등",,,1940-03-12,서울특별시 영등포구청,02-2670-3757,2018-02-20
11560-00006,메낙골근린공원,근린공원,서울특별시 영등포구 신길1동 4934-4,서울특별시 영등포구 신길1동 4934-4,37.506992,126.915244,57703,게이트볼장,,"정자, 평의자 등",,,1940-03-12,서울특별시 영등포구청,02-2670-3758,2018-02-20
11560-00005,당산근린공원,근린공원,서울특별시 영등포구 당산로27길 12,서울특별시 영등포구 당산1동 385,37.525177,126.895135,11154,헬스형 운동기구 등,조합놀이대,"음수대, 평의자 등",,,1940-03-12,서울특별시 영등포구청,02-2670-3758,2018-02-20
11560-00004,신길근린공원,근린공원,서울특별시 영등포구 도림로80길 6,서울특별시 영등포구 신길5동 341-3,37.501712,126.905408,19503,게이트볼장,조합놀이대,"음수대, 평의자 등",,,1940-03-12,서울특별시 영등포구청,02-2670-3758,2018-02-20
