"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11170-00001,효창공원,근린공원,서울특별시 용산구 임정로 26,서울특별시 용산구 효창동 255,37.5450571,126.9422319,171277,"운동장, 배드민턴장, 게이트볼장 등","조합놀이대, 그네 등","주차장, 매점, 화장실, 음수대 등","동상, 탑기념비",,1940-03-12,용산구청,02-2199-7594,2018-01-01
11170-00002,응봉공원,근린공원,,서울특별시 용산구 한남동 산8-1,37.5449837,126.9877774,187834,"테니스장, 배드민턴장 등","조합놀이대, 모래놀이터 등","주차장, 화장실",,,1977-07-09,용산구청,02-2199-7593,2018-01-01
11170-00003,동빙고공원,근린공원,,서울특별시 용산구 용산동6가 69-163,37.5174015,126.9664595,55740,테니스장 등,,"주차장, 화장실",문화회관,,1977-07-09,용산구청,02-2199-7603,2018-01-01
11170-00004,기와터공원,근린공원,,서울특별시 용산구 한강로3가 63-388,37.5257572,126.9521389,2225,,,음수대,,,2003-06-05,용산구청,02-2199-7603,2018-01-01
11170-00005,서빙고공원,근린공원,,서울특별시 용산구 용산동5가 24-2,37.5242889,126.9532214,11879,,,음수대,,,2003-05-10,용산구청,02-2199-7603,2018-01-01
11170-00006,새나라어린이공원,어린이공원,서울특별시 용산구 후암로13가길 25,서울특별시 용산구 후암동 190-1,37.5478811,126.9590534,2340,다목적 인조잔디마당,"조합놀이대, 그네 등","화장실, 음수대",,,1940-03-12,용산구청,02-2199-7605,2018-01-01
11170-00007,삼각지어린이공원,어린이공원,,서울특별시 용산구 용산동3가 1-96,37.5343958,126.9578709,803,,"조합놀이대, 그네 등","화장실, 음수대",,,1973-06-04,용산구청,02-2199-7605,2018-01-01
11170-00008,늘푸른어린이공원,어린이공원,서울특별시 용산구 원효로41가길 14-19,서울특별시 용산구 원효로3가 1-139,37.5348111,126.939136,2300,,"조합놀이대, 그네 등",화장실,,,1940-03-12,용산구청,02-2199-7605,2018-01-01
11170-00009,청파어린이공원,어린이공원,,서울특별시 용산구 서계동 226-3,37.5535362,126.9507912,8324,,"조합놀이대, 그네 등",화장실,,,1940-03-12,용산구청,02-2199-7605,2018-01-01
11170-00010,새싹어린이공원,어린이공원,서울특별시 용산구 이촌로14길 11-22,서울특별시 용산구 이촌2동 206-1,37.5269357,126.9369592,480,,"조합놀이대, 그네 등",,,,1973-03-23,용산구청,02-2199-7605,2018-01-01
11170-00011,동자어린이공원,어린이공원,서울특별시 용산구 한강대로104길 30-4,서울특별시 용산구 동자동 24-11,37.5500996,126.9562707,712,,"조합놀이대, 그네 등",화장실,,,1940-03-12,용산구청,02-2199-7605,2018-01-01
11170-00012,소월길어린이공원,어린이공원,,서울특별시 용산구 이태원2동 463,37.5435543,126.9717174,1630,,"조합놀이대, 그네 등",음수대,,,1963-12-16,용산구청,02-2199-7605,2018-01-01
11170-00013,효창어린이공원,어린이공원,,서울특별시 용산구 효창동 5-712,37.5427894,126.9410356,525,,,,,,1981-01-30,용산구청,02-2199-7605,2018-01-01
