"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11380-00001,새장골어린이공원,어린이공원,서울특별시 은평구 연서로37가길 10-12 (불광동),서울특별시 은평구 불광동 444-1,37.625092,126.926178,992,,"조합놀이대1, 그네1, 시소2, 흔들놀이3, 모래놀이시설6㎡",화장실,,,1965-07-08,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00002,대조어린이공원,어린이공원,서울특별시 은평구 연서로22길 9-30 (대조동),서울특별시 은평구 대조동 212,37.615323,126.919745,4176.9,,"조합놀이대1, 흔들놀이4, 모래놀이시설60㎡",화장실,,,1965-11-08,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00003,길마어린이공원,어린이공원,서울특별시 은평구 연서로21길 15 (갈현동),서울특별시 은평구 갈현동 474-1,37.614689,126.915685,1596.7,,"조합놀이대1, 유아용조합놀이대1, 그네2, 시소2, 흔들놀이3, 회전놀이5",화장실,,,1965-11-08,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00004,좌월어린이공원,어린이공원,서울특별시 은평구 갈현로25길 11-8 (갈현동),서울특별시 은평구 갈현동 513-1,37.617265,126.913295,1398.3,,"조합놀이대1, 유아용조합놀이대1, 그네1, 시소1, 흔들말2",화장실,,,1965-11-08,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00005,박석어린이공원,어린이공원,서울특별시 은평구 통일로89길 18-14,서울특별시 은평구 갈현동 416-3,37.625135,126.918535,856.9,,"조합놀이대1, 그네1, 흔들놀이2, 까꿍놀이대1",화장실,,,1965-11-08,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00006,새록어린이공원,어린이공원,서울특별시 은평구 은평로13길 35(녹번동),서울특별시 은평구 녹번동 158-1,37.603973,126.923728,956,,"조합놀이대1, 그네1, 시소2",화장실,,,1967-01-21,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00007,신록어린이공원,어린이공원,서울특별시 은평구 통일로 660,서울특별시 은평구 녹번동 20-6,37.605114,126.938126,469,,"조합놀이대1, 흔들놀이3",,,,1967-01-21,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00008,응암어린이공원,어린이공원,서울특별시 은평구 은평로11길 10 (응암동),서울특별시 은평구 응암동 85-41,37.601679,126.923517,992.1,,"조합놀이대1, 유아용조합놀이대1",화장실,,,1967-01-21,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00009,포수동어린이공원,어린이공원,서울특별시 은평구 은평로8길 28,서울특별시 은평구 응암동 115-25,37.598043,126.919446,987.8,,"조합놀이대1, 그네1, 시소1, 흔들놀이3, 별자리지붕게임형운동시설1, 모래놀이시설15㎡",화장실,,,1967-01-21,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00010,참다래어린이공원,어린이공원,서울특별시 은평구 응암로25길 8,서울특별시 은평구 응암동 120-22,37.595367,126.917374,954.4,,"조합놀이대1, 그네1, 시소1, 흔들놀이5, 모래놀이시설14㎡",화장실,,,1967-01-21,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00011,역마을어린이공원,어린이공원,서울특별시 은평구 진흥로1길 9,서울특별시 은평구 역촌동 39-2,37.601073,126.918478,949.1,,"조합놀이대1, 그네1, 흔들놀이대2, 모래놀이시설12㎡",화장실,,,1967-01-21,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00012,역말어린이공원,어린이공원,서울특별시 은평구 갈현로14길 32 (역촌동),서울특별시 은평구 역촌동 47-1,37.606876,126.914238,966.3,,"조합놀이대1, 유아조합놀이대1, 흔들놀이대2, 그네1, 시소1, 모래놀이시설27㎡",화장실,,,1967-01-21,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00013,인조유기비어린이공원,어린이공원,서울특별시 은평구 연서로10길 20 (역촌동),서울특별시 은평구 역촌동 8-11,37.608641,126.916513,1256.9,,조합놀이대1,,,,1967-01-21,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00014,궁말어린이공원,어린이공원,서울특별시 은평구 응암동 115-25,서울특별시 은평구 갈현동 327-21,37.616846,126.908951,1190,,"조합놀이대1, 요술 거울5, 흔들놀이2, 모래놀이시설35㎡",,,,1967-01-21,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00015,새락골어린이공원,어린이공원,서울특별시 은평구 은평로3가길 34 (신사동),서울특별시 은평구 신사동 5-21,37.598914,126.911312,994,,"조합놀이대1, 그네1, 시소2, 흔들놀이2",화장실,,,1967-01-21,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00016,신흥어린이공원,어린이공원,서울특별시 은평구 증산로21길 25 (신사동),서울특별시 은평구 신사동 31-2,37.595946,126.911954,937.9,,"조합놀이대1, 시소2, 그네1, 흔들놀이1, 모래놀이시설10㎡",화장실,,,1967-01-21,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00017,시루뫼어린이공원,어린이공원,서울특별시 은평구 응암동 115-25,서울특별시 은평구 증산동 185-1,37.582994,126.906559,999.6,,"조합놀이대1, 유아용조합놀이대1, 그네2, 흔들놀이2",화장실,,,1968-11-05,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00018,까치어린이공원,어린이공원,서울특별시 은평구 응암동 115-25,서울특별시 은평구 증산동 180-1,37.579911,126.904073,1005,,"조합놀이대1, 유아용조합놀이대1, 그네1, 흔들놀이3",화장실,,,1968-11-05,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00019,연서어린이공원,어린이공원,서울특별시 은평구 연서로6길 8-1 (역촌동),서울특별시 은평구 역촌동 32-36,37.604098,126.916651,956,,"조합놀이대1, 그네1, 시소2, 흔들놀이2",화장실,,,1968-11-05,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00020,서갈현어린이공원,어린이공원,서울특별시 은평구 응암동 115-25,서울특별시 은평구 갈현동 434-38,37.621482,126.915707,1532.2,,"조합놀이대1, 암벽조합놀이대1, 흔들놀이2, 모래놀이시설12㎡",화장실,,,1971-07-07,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00021,응암4동어린이공원,어린이공원,서울특별시 은평구 응암동 115-25,서울특별시 은평구 응암동 742-9,37.583268,126.916127,1526,,조합놀이대1,,,,1976-08-26,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00022,역촌근린공원,근린공원,서울특별시 은평구 응암동 115-26,서울특별시 은평구 구산동 산43 일대,37.611011,126.908075,52500,배드민턴장1,,,,,1977-07-14,서울특별시 은평구청,02-351-8008,2018-02-14
11380-00023,구산근린공원,근린공원,서울특별시 은평구 응암동 115-27,서울특별시 은평구 구산동 산47-13 일대,37.607188,126.907777,32300,,,,,,1977-07-14,서울특별시 은평구청,02-351-8008,2018-02-14
11380-00024,갈곡리어린이공원,어린이공원,서울특별시 은평구 응암동 115-28,서울특별시 은평구 갈현동 436-51,37.623992,126.916508,1738.7,,"조합놀이대2, 시소1, 그네1, 흔들말2",화장실,야외무대1,,1978-07-03,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00025,분토골어린이공원,어린이공원,서울특별시 은평구 응암동 115-29,서울특별시 은평구 증산동 163-34,37.586711,126.911699,996,,"조합놀이대1, 그네1, 흔들놀이2, 모래놀이시설37㎡",화장실,,,1978-07-04,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00099,녹번1-3지구 어린이공원,어린이공원,서울특별시 은평구 응암동 115-30,서울특별시 은평구 녹번동 17-5,37.606310,126.934200,5226,,"조합놀이대, 모래밭, 시소, 정글집",,,,2004-12-27,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00026,백련근린공원<시공원>,근린공원,서울특별시 은평구 응암동 115-31,서울특별시 은평구 응암동 산1-27외,37.591312,126.928971,316918,배드민턴장6,"조합놀이대1, 기타4","주차장1, 화장실1, (간이)화장실1",기타4,,1989-12-27,서울특별시 은평구청,02-351-8008,2018-02-14
11380-00027,신사동공공공지,기타,서울특별시 은평구 응암동 115-32,서울특별시 은평구 신사동  163-51,37.590721,126.905813,1848,,,,,,1990-05-21,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00028,호연어린이공원,어린이공원,서울특별시 은평구 응암동 115-33,서울특별시 은평구 녹번동 95-44,37.605483,126.930922,528,,"조합놀이대1, 시소1, 흔들놀이2",,,,1991-02-26,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00029,녹번서근린공원,근린공원,서울특별시 은평구 응암동 115-34,서울특별시 은평구 녹번동 85-1외 17필지,37.603157,126.929288,29945,,,"주차장3, (간이)화장실1","문화회관1, 야외음악당1",관리사무소1,1991-11-20,서울특별시 은평구청,02-351-8008,2018-02-14
11380-00030,녹번동근린공원,근린공원,서울특별시 은평구 응암동 115-35,서울특별시 은평구 녹번동 산40-1,37.603459,126.932237,39373,,,,,,1991-11-22,서울특별시 은평구청,02-351-8008,2018-02-14
11380-00031,신사근린공원<시공원>,근린공원,서울특별시 은평구 응암동 115-36,서울특별시 은평구 신사동 산80-4 일대,37.592420,126.910584,111650,"배드민턴장1, 게이트볼장1",조합놀이대1,화장실1,기타1,관리사무소1,1993-03-27,서울특별시 은평구청,02-351-8004,2018-02-14
11380-00032,봉산도시자연공원<시공원>,기타,서울특별시 은평구 응암동 115-37,서울특별시 은평구 구산동 산135-5 일대,37.600268,126.906472,1512881,"운동장1, 축구장2, 농구장2, 배구장1, 배드민턴장8, 기타4","그네1, 시소2, 조합노이대3, 기타4","주차장1, 화장실2",기타4,관리사무소2,1995-01-07,서울특별시 은평구청,02-351-8003,2018-02-14
11380-00033,진관근린공원<시공원>,근린공원,서울특별시 은평구 응암동 115-38,서울특별시 은평구 진관동 산97-3,37.640075,126.932882,1313671.9,"농구장1, 배드민턴장4","조합놀이대1, 기타4",화장실1,야외무대1,관리사무소1,1995-01-07,서울특별시 은평구청,02-351-8004,2018-02-14
11380-00034,서오릉도시자연공원<시공원>,기타,서울특별시 은평구 응암동 115-39,서울특별시 은평구 진관동 389-1,37.637976,126.913577,1082847,"축구장1, 농구장1, 배드민턴장3",기타7,"주차장1, 화장실1","문화회관2, 야외음악당1, 기타3",관리사무소1,1995-01-20,서울특별시 은평구청,02-351-8003,2018-02-14
11380-00035,불광근린공원<시공원>,근린공원,서울특별시 은평구 응암동 115-40,서울특별시 은평구 불광동 산33-1,37.618784,126.930834,131471,"배드민턴장1, 기타1",,"주차장2, 화장실(발효식)1",도서관1,,1997-05-06,서울특별시 은평구청,02-351-8004,2018-02-14
11380-00036,향림근린공원<시공원>,근린공원,서울특별시 은평구 응암동 115-41,서울특별시 은평구 진관동 산55,37.629366,126.927014,253629,"운동장1, 테니스장1, 축구장1, 배드민턴장2",기타1,"주차장, 화장실2",기타23,관리사무소3,1998-12-05,서울특별시 은평구청,02-351-8003,2018-02-14
11380-00037,북한산도시자연공원<시공원>,기타,서울특별시 은평구 응암동 115-42,서울특별시 은평구 녹번동 산1-1,37.605799,126.940903,730342,"배드민턴장1, 게이트볼장1, 기타2",조합놀이대1,화장실1,기타2,관리사무소1,2000-05-10,서울특별시 은평구청,02-351-8003,2018-02-14
11380-00038,수색마을마당,기타,서울특별시 은평구 응암동 115-43,서울특별시 은평구 수색동  337-3,37.585195,126.891941,387,,유아용조합놀이대1,,,,2000-06-19,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00039,불광동마을마당,기타,서울특별시 은평구 응암동 115-44,서울특별시 은평구 불광2동  331-106,37.618709,126.927067,324,,,,,,2001-09-15,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00040,갈현동마을마당,기타,서울특별시 은평구 응암동 115-45,서울특별시 은평구 갈현2동  526-6,37.614968,126.910327,250,,,,,,2001-09-15,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00041,역촌동마을마당,기타,서울특별시 은평구 응암동 115-46,서울특별시 은평구 역촌동  2-108,37.608360,126.919486,230.1,,,,,,2001-09-15,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00042,불광어린이공원,어린이공원,서울특별시 은평구 응암동 115-47,서울특별시 은평구 불광동 236-5,37.616340,126.931455,496,,"조합놀이대1, 그네1",,,,2001-11-15,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00043,연신내물빛공원,기타,서울특별시 은평구 응암동 115-48,서울특별시 은평구 통일로 849,37.618970,126.920861,2051,,,,야외음악당1,관리사무소1,2002-07-02,서울특별시 은평구청,02-351-8012,2018-02-14
11380-00044,역촌2동마을마당,기타,서울특별시 은평구 응암동 115-49,서울특별시 은평구 역촌동  62-21,37.604686,126.915235,395.7,,"유아용조합놀이대1, 네트놀이대1, 석탑2, 돌기둥3, 모래놀이터1",,,,2003-08-30,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00045,연신어린이공원,어린이공원,서울특별시 은평구 응암동 115-50,서울특별시 은평구 불광1동 339,37.610307,126.931945,1236,,"조합놀이대1, 유아용그네1",,,,2003-11-10,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00046,연천초교앞마을마당,기타,서울특별시 은평구 응암동 115-51,서울특별시 은평구 불광2동  137-5,37.621404,126.928596,347,,"모래놀이집1, 모래놀이터1",,,,2003-12-10,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00047,대조동청사옆마을마당,기타,서울특별시 은평구 응암동 115-52,서울특별시 은평구 대조동  214-8,37.614034,126.920502,130.3,,,,,,2004-03-05,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00048,불광3동마을숲마을마당,기타,서울특별시 은평구 응암동 115-53,서울특별시 은평구 불광2동  480-181,37.624534,126.923743,807,,"사면슬라이드놀이대1, 모래놀이터1, 흔들놀이2",,,,2004-05-10,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
11380-00049,응암1동마을마당,기타,서울특별시 은평구 응암동 115-54,서울특별시 은평구 응암1동  97-17,37.599915,126.925992,635.3,,"모래놀이터1, 조합놀이대1",,,,2004-11-15,서울특별시 은평구시설관리공단,02-350-5254,2018-02-14
