"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11110-00030,창신공원,어린이공원,서울특별시 종로구 창신 23-362,서울특별시 종로구 창신 23-362,37.5782760,127.0129310,710,,"시소,조합놀이",,,,2013-10-10,서울특별시 종로구청,02-2148-4156,2018-08-16
11110-00031,당고개공원,어린이공원,서울특별시 종로구 창신 23-350,서울특별시 종로구 창신 23-350,37.5757620,127.0123820,860,,"그네,조합놀이",,,,2013-10-10,서울특별시 종로구청,02-2148-4156,2018-08-16
11110-00032,무악공원,어린이공원,서울특별시 종로구 무악동 산2-83,서울특별시 종로구 무악동 산2-83,37.5775250,126.9605470,5136,,,음수대,,,2015-09-13,서울특별시 종로구청,02-2148-4156,2018-08-16
11110-00033,창덕공원,근린공원,서울특별시 종로구 율곡로 99 (와룡동),서울특별시 종로구 와룡동 2-71,37.5802740,126.9917850,491328,,,음수대,,,,서울특별시 종로구청,,2018-08-16
11110-00034,청진공원,근린공원,서울특별시 종로구 종로3길 24-29 (청진동),서울특별시 종로구 청진동 177,37.5717960,126.9799910,3341,,,,,,,서울특별시 종로구청,,2018-08-16
11110-00029,낙산공원,어린이공원,서울특별시 종로구 창신길 210-11 (창신동),서울특별시 종로구 창신 611-19,37.5797180,127.0104560,660,,"시소,조합놀이",,,,2013-10-10,서울특별시 종로구청,02-2148-4156,2018-08-16
11110-00001,참샘골공원,어린이공원,서울특별시 종로구 평창 470,서울특별시 종로구 평창 470,37.6153530,126.9746400,2737,,"그네,조합놀이",음수대,,,1971-06-28,서울특별시 종로구청,02-2148-4156,2018-08-16
11110-00002,감나무골공원,어린이공원,서울특별시 종로구 평창 495-4,서울특별시 종로구 평창 495-4,37.6128760,126.9703770,2403,,"그네,미끄럼틀",음수대,,,1971-06-28,서울특별시 종로구청,02-2148-4156,2018-08-16
11110-00003,옥인공원,어린이공원,서울특별시 종로구 옥인 187-2,서울특별시 종로구 옥인 187-2,37.5825450,126.9624070,472.1,,,,,,1974-03-23,서울특별시 종로구청,02-2148-4156,2018-08-16
11110-00004,명륜공원,어린이공원,서울특별시 종로구 명륜1가 23-9,서울특별시 종로구 명륜1가 23-9,37.5882450,126.9982790,1149.5,,"모래밭,조합놀이",음수대,,,1980-03-23,서울특별시 종로구청,02-2148-4156,2018-08-16
11110-00005,새마을공원,어린이공원,서울특별시 종로구 평창길 14-9 (평창동),서울특별시 종로구 평창 327-1,37.6066310,126.9646420,397,,"그네,조합놀이",,,,1983-12-23,서울특별시 종로구청,02-2148-4156,2018-08-16
11110-00006,인왕공원,어린이공원,서울특별시 종로구 무악 55-1,서울특별시 종로구 무악 55-1,37.5774680,126.9569750,1745.8,,,,,,1983-12-23,서울특별시 종로구청,02-2148-4156,2018-08-16
11110-00007,원서공원,근린공원,서울특별시 종로구 창덕궁길 19 (원서동),서울특별시 종로구 원서 181,37.5786220,126.9884740,10004.6,,,음수대,,,1985-01-18,서울특별시 종로구청,02-2148-4155,2018-08-16
11110-00008,탑골공원,근린공원,서울특별시 종로구 종로 99 (종로2가),서울특별시 종로구 종로2가 38-1,37.5713050,126.9882790,19599.7,,,"화장실,공중전화,음수대","동상,탑기념비",,1996-12-16,서울특별시 종로구청,02-2148-4157,2018-08-16
11110-00009,연지1공원,어린이공원,서울특별시 종로구 연지 136-92,서울특별시 종로구 연지 136-92,37.5743790,127.0010630,474.2,,"그네,모래밭,조합놀이",음수대,,,1998-10-09,서울특별시 종로구청,02-2148-4156,2018-08-16
11110-00010,연지공원,근린공원,서울특별시 종로구 연지 1-38,서울특별시 종로구 연지 1-38,37.5757580,127.0007950,2827.6,,,,,,1999-11-13,서울특별시 종로구청,,2018-08-16
11110-00011,내수1공원,근린공원,서울특별시 종로구 내수 71-2,서울특별시 종로구 내수 71-2,37.5739110,126.9705420,2392.1,체력단련시설,,음수대,,,2000-03-09,서울특별시 종로구청,,2018-08-16
11110-00012,내수2공원,근린공원,서울특별시 종로구 내수 73-3,서울특별시 종로구 내수 73-3,37.5724970,126.9716370,2192.2,체력단련시설,,음수대,,,2000-03-09,서울특별시 종로구청,,2018-08-16
11110-00013,사직공원,근린공원,서울특별시 종로구 사직로9길 7 (사직동),서울특별시 종로구 사직 1-28,37.5762970,126.9679480,168099.8,"궁도장,배드민턴장,체력단련시설",,"매점,화장실,공중전화,음수대,샘터","도서관,동상,탑기념비",,2006-07-06,서울특별시 종로구청,02-2148-4149,2018-08-16
11110-00014,월암공원,근린공원,서울특별시 종로구 송월 1-44,서울특별시 종로구 송월 1-44,37.5713110,126.9656340,10662,체력단련시설,,,야외음악당,,2006-08-31,서울특별시 종로구청,,2018-08-16
11110-00015,경학공원,어린이공원,서울특별시 종로구 성균관로5길 25-13 (명륜3가),서울특별시 종로구 명륜3가 53-2,37.5847530,126.9968100,3269,,,,,,2009-01-22,서울특별시 종로구청,02-2148-4156,2018-08-16
