"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11260-00044,원 묵,어린이공원,,서울특별시 중랑구  묵1 13-1,37.616706,127.084752,1500.9,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00045,서 당,어린이공원,,서울특별시 중랑구  묵1 20-1,37.617025,127.088107,2000.1,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00046,은하수,어린이공원,,서울특별시 중랑구  신내2 650-1,37.615624,127.091248,1999.7,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00039,꽃동산,어린이공원,,서울특별시 중랑구  망우3 441-1,37.591211,127.099138,1004,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00040,달동산,어린이공원,,서울특별시 중랑구  망우3 520-6,37.592170,127.095159,984.5,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00041,샛  별,어린이공원,,서울특별시 중랑구  망우3 416-1,37.593358,127.100807,950.1,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00042,햇  님,어린이공원,,서울특별시 중랑구  망우3 474-11,37.593568,127.095252,593,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00043,안  골,어린이공원,,서울특별시 중랑구  신내1 474-33,37.604494,127.097840,184,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00047,한아름,어린이공원,,서울특별시 중랑구  신내2 656-1,37.613243,127.094101,2005.7,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00048,꽃피울,어린이공원,,서울특별시 중랑구  신내2 660-1,37.608347,127.094027,1500.1,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00049,신  현,어린이공원,,서울특별시 중랑구 상봉1 484-1,37.603434,127.089732,1492.3,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00050,망우동,어린이공원,,서울특별시 중랑구 망우본 583-2,37.601255,127.106540,2908.8,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00051,묵동소공원,소공원,,서울특별시 중랑구 묵동 164-25,37.615256,127.078066,167.2,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00051,코오롱하늘채앞소공원,소공원,,서울특별시 중랑구 면목동 1537-1,37.341883,127.510970,1221.8,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00002,봉화산근린공원,근린공원,,서울특별시 중랑구 묵동 산 46-1번지 일대,37.607476,127.091874,977.5,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00003,신내공원(신내택지개발지구 근린공원2),근린공원,,서울특별시 중랑구 신내동 700 일대,37.610331,127.096077,18699,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00004,신내택지개발지구 근린공원3,근린공원,,서울특별시 중랑구 신내동 산 136-1,37.611067,127.093622,22474,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00005,능산공원,근린공원,,서울특별시 중랑구 신내동 365-2,37.612061,127.097638,12351,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00006,신내어울공원,근린공원,,서울특별시 중랑구 신내동 317-2,37.613622,127.099117,12916,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00007,구릉공원,근린공원,,서울특별시 중랑구 신내동 234 일대,37.610331,127.096077,25651,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00008,능말공원,근린공원,,서울특별시 중랑구 신내동 111-31,37.615317,127.107058,19101,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00009,배말공원,근린공원,,서울특별시 중랑구 신내동 산 8-9,37.613975,127.112191,19902,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00010,면  목,어린이공원,,서울특별시 중랑구  면목본 127-33,37.589499,127.085916,993,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00011,양  지,어린이공원,,서울특별시 중랑구  면목본 98-20,37.590303,127.089107,979.8,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00012,겸  재,어린이공원,,서울특별시 중랑구  면목본 70-3,37.587935,127.093209,975.9,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00018,오거리,어린이공원,,서울특별시 중랑구  면목7 351,37.577067,127.084425,1357,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00019,열  매,어린이공원,,서울특별시 중랑구  면목2 142-15,37.588652,127.081020,1192.7,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00020,사  랑,어린이공원,,서울특별시 중랑구  면목5 153-6,37.585642,127.081856,1009.9,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00013,남  촌,어린이공원,,서울특별시 중랑구  면목본 110-1,37.585637,127.091303,1010.6,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00014,햇  살,어린이공원,,서울특별시 중랑구  면목2 137-14,37.589894,127.083194,867.4,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00015,까  치,어린이공원,,서울특별시 중랑구  면목3·8 570,37.583500,127.087223,3231.7,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00016,샘  터,어린이공원,,서울특별시 중랑구  면목4 656,37.573032,127.083307,1591.7,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00017,송  계,어린이공원,,서울특별시 중랑구  면목5 173-1,37.584498,127.077949,1019.5,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00021,소  파,어린이공원,,서울특별시 중랑구  면목3·8 42-1,37.589280,127.095706,1015.5,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00022,섬  들,어린이공원,,서울특별시 중랑구  면목본 86-3,37.591450,127.092529,1005,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
11260-00023,한  신,어린이공원,,서울특별시 중랑구  면목2 178-19,37.588131,127.076892,995.4,,,,,,,서울특별시 중랑구청,02-2094-2364,2018-10-08
