,행정동,구,공원개수,문화시설개수,한강공원개수,체육시설개수,보행자도로개수,초중고,관광명소개수,지하철개수,호텔개수,대학교개수,총합
0,가양1동,강서구,2,2,,,,4,1,3,,,12
1,고덕2동,강동구,1,2,,,,4,,,,,8
2,고척2동,구로구,1,2,,,,4,,,,,9
3,교남동,종로구,1,1,,,,2,,,,,8
4,금호4가동,성동구,1,,,,,2,,1,,,9
5,노량진1동,동작구,1,1,,,4,4,,2,,,18
6,녹번동,은평구,1,6,,,2,2,,2,1,,21
7,답십리2동,동대문구,1,2,,1,,2,,,,,14
8,도곡1동,강남구,1,1,,,,2,,1,,,14
9,도곡2동,강남구,1,2,,,,4,,1,,,18
10,돈암1동,성북구,2,,,,,4,,,,,17
11,둔촌2동,강동구,1,,,1,,5,,,,,19
12,등촌1동,강서구,1,,,,,1,,1,1,,17
13,마천2동,송파구,1,,,,2,1,,,,,18
14,목2동,양천구,1,,,,4,1,,1,,,22
15,발산1동,강서구,1,,,,,14,,2,4,,37
16,방배2동,서초구,1,,,,2,2,,1,,,23
17,방배3동,서초구,1,,,,,1,,1,,1,22
18,방화3동,강서구,1,1,,,2,6,,1,,,30
19,번2동,강북구,1,2,,,,1,,,,,24
20,불광1동,은평구,1,2,,,,2,,1,2,,29
21,불광2동,은평구,1,,,,2,7,,,,,32
22,사당3동,동작구,1,,,,,2,,,,1,27
23,사직동,종로구,2,17,,1,,3,5,2,,,54
24,삼양동,강북구,1,1,,,,5,,2,,,34
25,삼청동,종로구,1,15,,,2,2,1,,,,47
26,상도4동,동작구,1,,,,,3,,,,,31
27,상일동,강동구,1,1,,,,8,,1,,,39
28,서원동,관악구,1,,,,4,1,,,,,35
29,석관동,성북구,1,,,,,3,,1,,1,36
30,세곡동,강남구,2,3,,,,4,,,,,40
31,수궁동,구로구,1,1,,,,8,1,1,,,44
32,신사1동,은평구,1,,,,,1,,1,,1,37
33,신사2동,은평구,1,,,,,5,,1,,,41
34,신정3동,양천구,2,1,,,4,8,,1,,,51
35,신정7동,양천구,1,,,,2,4,,1,,,44
36,쌍문4동,도봉구,1,,,,,7,,,,,45
37,약수동,중구,1,1,,,,,,2,,,42
38,양재1동,서초구,1,5,,,,5,,1,,,51
39,연희동,서대문구,2,3,,,,3,,,,,48
40,오금동,송파구,1,1,,,,9,,1,,,53
41,오류1동,구로구,1,2,,,2,1,,,1,,49
42,오류2동,구로구,1,1,,,,9,,2,,1,57
43,용강동,마포구,1,,,,,1,,,,,46
44,용산2가동,용산구,1,3,,,,4,2,1,,,56
45,월곡1동,성북구,1,1,,,,4,,,,,52
46,일원본동,강남구,1,2,,,,5,,1,,,56
