,행정동,구,공원개수,문화시설개수,한강공원개수,체육시설개수,관광명소개수,초중고,관광명소개수,대학교개수,지하철개수,호텔개수,총합
0,가양1동,강서구,2,2,,,,4,1,,3,,12
1,고덕2동,강동구,1,2,,,,4,,,,,7
2,고척2동,구로구,1,2,,,,4,,,,,7
4,교남동,종로구,1,1,,,,2,,,,,4
5,금호4가동,성동구,1,,,,,2,,,1,,4
6,노량진1동,동작구,1,1,,,4,4,,,2,,12
7,녹번동,은평구,1,6,,,2,2,,,2,1,14
8,답십리2동,동대문구,1,2,,1,,2,,,,,6
9,도곡1동,강남구,1,1,,,,2,,,1,,5
10,도곡2동,강남구,1,2,,,,4,,,1,,8
11,돈암1동,성북구,2,,,,,4,,,,,6
12,둔촌2동,강동구,1,,,1,,5,,,,,7
13,등촌1동,강서구,1,,,,,1,,,1,1,4
14,마천2동,송파구,1,,,,2,1,,,,,4
15,목2동,양천구,1,,,,4,1,,,1,,7
16,발산1동,강서구,1,,,,,14,,,2,4,21
17,방배2동,서초구,1,,,,2,2,,,1,,6
18,방배3동,서초구,1,,,,,1,,,1,,3
19,방화3동,강서구,1,1,,,2,6,,,1,,11
20,번2동,강북구,1,2,,,,1,,,,,4
21,불광1동,은평구,1,2,,,,2,,,1,2,8
22,불광2동,은평구,1,,,,2,7,,,,,10
23,사당3동,동작구,1,,,,,2,,1,,,4
24,사직동,종로구,2,17,,1,,3,5,,2,,30
25,삼양동,강북구,1,1,,,,5,,,2,,9
26,삼청동,종로구,1,15,,,2,2,1,,,,21
27,상도4동,동작구,1,,,,,3,,,,,4
28,상일동,강동구,1,1,,,,8,,,1,,11
29,서원동,관악구,1,,,,4,1,,,,,6
30,석관동,성북구,1,,,,,3,,1,1,,6
31,세곡동,강남구,2,3,,,,4,,,,,9
32,수궁동,구로구,1,1,,,,8,1,,1,,12
33,신사1동,은평구,1,,,,,1,,,1,,3
34,신사2동,은평구,1,,,,,5,,,1,,7
35,신정3동,양천구,2,1,,,4,8,,,1,,16
36,신정7동,양천구,1,,,,2,4,,,1,,8
37,쌍문4동,도봉구,1,,,,,7,,,,,8
38,약수동,중구,1,1,,,,,,,2,,4
39,양재1동,서초구,1,5,,,,5,,,1,,12
40,연희동,서대문구,2,3,,,,3,,,,,8
41,오금동,송파구,1,1,,,,9,,,1,,12
42,오류1동,구로구,1,2,,,2,1,,,,1,7
43,오류2동,구로구,1,1,,,,9,,1,2,,14
44,용강동,마포구,1,,,,,1,,,,,2
45,용산2가동,용산구,1,3,,,,4,2,,1,,11
46,월곡1동,성북구,1,1,,,,4,,,,,6
47,일원본동,강남구,1,2,,,,5,,,1,,9
